provider,event_id_anchor,query_status,items_returned,relevant_hits,quota_limited,permission_limited,detail_safe
alpaca_news,845,ok,25,8,False,False,
alpaca_news,589,ok,25,21,False,False,
alpaca_news,525,ok,25,20,False,False,
alpaca_news,2023,ok,25,13,False,False,
alpaca_news,2069,ok,25,14,False,False,
alpaca_news,452,ok,25,15,False,False,
alpaca_news,623,ok,25,14,False,False,
alpaca_news,790,ok,25,11,False,False,
alpaca_news,514,ok,25,15,False,False,
alpaca_news,2201,ok,25,17,False,False,
alpaca_news,94,ok,25,17,False,False,
alpaca_news,345,ok,25,15,False,False,
alpaca_news,2304,ok,25,14,False,False,
alpaca_news,1233,ok,25,19,False,False,
alpaca_news,1267,ok,25,14,False,False,
alpaca_news,1980,ok,25,9,False,False,
alpaca_news,208,ok,25,13,False,False,
alpaca_news,969,ok,25,16,False,False,
alpaca_news,1142,ok,25,20,False,False,
alpaca_news,927,ok,25,15,False,False,
alpaca_news,1766,ok,25,12,False,False,
alpaca_news,1014,ok,25,12,False,False,
alpaca_news,1708,ok,25,10,False,False,
alpaca_news,1608,ok,25,13,False,False,
alpaca_news,849,ok,25,12,False,False,
alpaca_news,1339,ok,25,16,False,False,
alpaca_news,1904,ok,25,14,False,False,
alpaca_news,390,ok,25,12,False,False,
eodhd,2232,ok,25,10,False,False,
eodhd,998,ok,25,4,False,False,
eodhd,1185,ok,25,4,False,False,
eodhd,773,ok,25,11,False,False,
eodhd,646,ok,25,11,False,False,
eodhd,762,ok,25,4,False,False,
eodhd,1953,ok,25,13,False,False,
eodhd,1381,ok,25,15,False,False,
eodhd,2262,ok,25,6,False,False,
eodhd,1396,ok,25,10,False,False,
newsapi,1588,http_401,0,0,False,True,"{""status"":""error"",""code"":""apiKeyInvalid"",""message"":""Your API key is invalid or incorrect. Check your key, or go to https"
newsapi,2177,http_401,0,0,False,True,"{""status"":""error"",""code"":""apiKeyInvalid"",""message"":""Your API key is invalid or incorrect. Check your key, or go to https"
newsapi,993,http_401,0,0,False,True,"{""status"":""error"",""code"":""apiKeyInvalid"",""message"":""Your API key is invalid or incorrect. Check your key, or go to https"
newsapi,1948,http_401,0,0,False,True,"{""status"":""error"",""code"":""apiKeyInvalid"",""message"":""Your API key is invalid or incorrect. Check your key, or go to https"
newsapi,548,http_401,0,0,False,True,"{""status"":""error"",""code"":""apiKeyInvalid"",""message"":""Your API key is invalid or incorrect. Check your key, or go to https"
gdelt_doc_api,1673,parse_error,0,0,False,False,Invalid query start date format (must be in YYYYMMDDHHMMSS format).
gdelt_doc_api,1854,parse_error,0,0,False,False,Invalid query start date format (must be in YYYYMMDDHHMMSS format).
gdelt_doc_api,1853,parse_error,0,0,False,False,Invalid query start date format (must be in YYYYMMDDHHMMSS format).
gdelt_doc_api,540,parse_error,0,0,False,False,Invalid query start date format (must be in YYYYMMDDHHMMSS format).
gdelt_doc_api,514,parse_error,0,0,False,False,Invalid query start date format (must be in YYYYMMDDHHMMSS format).
