locked_sample_version,event_id,source_video_id,video_id,transcript_id,creator,channel_id,ticker,company_name,recommendation_type,event_date,effective_trading_event_date,transcript_source,extraction_source_file,event_return_source_file,in_final_event_study,in_sec_clean_analysis,in_low_lookahead_analysis,in_duplicate_collapsed_analysis,in_factor_analysis,in_free_news_scaffold,notes
locked_artifact_sample_v1_2026-05-16,39,WZn7DEvbUSg,WZn7DEvbUSg,WZn7DEvbUSg,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Apple,buy,2025-07-16,2025-07-16,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,40,W_PUT886Hsg,W_PUT886Hsg,W_PUT886Hsg,Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,NVDA,,buy,2025-06-12,2025-06-12,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,41,XIFBe1sQ154,XIFBe1sQ154,XIFBe1sQ154,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,AMD,Amazon,sell,2025-08-10,2025-08-11,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,True,False,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,42,XIFBe1sQ154,XIFBe1sQ154,XIFBe1sQ154,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Microsoft,sell,2025-08-10,2025-08-11,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,43,ZoNcukTNJWU,ZoNcukTNJWU,ZoNcukTNJWU,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Microsoft,buy,2026-01-16,2026-01-16,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,44,ZoNcukTNJWU,ZoNcukTNJWU,ZoNcukTNJWU,Jose Najarro Stocks,UCrTTBSUr0zhPU56UQljag5A,AMD,Nvidia,buy,2026-01-16,2026-01-16,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,45,_0xgiC5-zkY,_0xgiC5-zkY,_0xgiC5-zkY,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,AMD,Microsoft,buy,2025-06-23,2025-06-23,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,46,aT9dTY-LD3A,aT9dTY-LD3A,aT9dTY-LD3A,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,GOOGL,Apple,buy,2025-05-20,2025-05-20,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,47,aT9dTY-LD3A,aT9dTY-LD3A,aT9dTY-LD3A,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Apple,buy,2025-05-20,2025-05-20,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,48,aT9dTY-LD3A,aT9dTY-LD3A,aT9dTY-LD3A,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Uber,sell,2025-05-20,2025-05-20,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,True,False,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,49,aT9dTY-LD3A,aT9dTY-LD3A,aT9dTY-LD3A,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,PayPal,buy,2025-05-20,2025-05-20,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,True,False,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,50,cA9G2OXZXVQ,cA9G2OXZXVQ,cA9G2OXZXVQ,Jose Najarro Stocks,UCgCh-2AfEBtWrNBC2OoNQYg,NVDA,Microsoft,buy,2025-09-15,2025-09-15,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,51,fEddj8s8az8,fEddj8s8az8,fEddj8s8az8,Jose Najarro Stocks,UCgCh-2AfEBtWrNBC2OoNQYg,NVDA,Microsoft,buy,2025-08-11,2025-08-11,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,True,False,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,52,fOznSynSQEA,fOznSynSQEA,fOznSynSQEA,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,META,Tesla,sell,2026-01-25,2026-01-26,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,53,gJJsebHnej4,gJJsebHnej4,gJJsebHnej4,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Microsoft,buy,2025-05-21,2025-05-21,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,54,gVnUKjkA5M0,gVnUKjkA5M0,gVnUKjkA5M0,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Nvidia,sell,2025-05-22,2025-05-22,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,55,DKFqBKs-_kE,DKFqBKs-_kE,DKFqBKs-_kE,Jose Najarro Stocks,UCC7xhD0o7FBHdKXZxMRFspQ,GOOGL,Amazon,buy,2025-06-25,2025-06-25,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,True,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
