event_id,ticker,data_ticker,creator,event_date,event_year,recommendation_type,top5_flag,confidence_score,confidence_label,quality_score,high_confidence,event_idx,prior_return_1d,prior_return_5d,prior_return_21d,prior_return_63d,prior_return_126d,prior_volatility_21d,prior_max_drawdown_21d,prior_abnormal_volume,prior_market_cap,post_bhar_1d,post_vol_1d,post_raw_ret_1d,post_bhar_5d,post_vol_5d,post_raw_ret_5d,post_bhar_21d,post_vol_21d,post_raw_ret_21d,post_bhar_63d,post_vol_63d,post_raw_ret_63d,post_1d_range_pct,forward_spy_bhar_5d,forward_spy_bhar_21d,forward_spy_bhar_63d,av_expanded_news_clean_flag,av_expanded_news_confounded_flag,av_expanded_news_unknown_flag,public_news_clean,public_news_confounded,public_news_unknown,master_clean,master_confounded,master_unknown,is_event
1787,NVDA,NVDA,Jose Najarro Stocks,2026-05-05,2026.0,buy,True,0.62,high,3.0,True,1681,-0.017997980776972566,-0.09517419565430041,0.007767788847345747,0.03714391657902394,-0.0966703482118022,0.020738656854914828,-0.09283966831488266,-0.14307200827422262,,0.04375960295220738,,0.05765904239722497,0.10365273259423735,0.019708738373587466,0.12356233475469147,,,,,,,0.0,0.1036527325942373,0.1236462544365446,0.1236462544365446,False,False,True,False,False,True,False,True,True,True
1788,GOOGL,GOOGL,Jose Najarro Stocks,2026-05-05,2026.0,sell,False,0.62,high,3.0,True,1681,0.0054937767393554715,0.0935243039509901,0.1964078481954623,0.09169777129475909,0.31606049018432714,0.02333976624914146,-0.02748180851130344,-0.016819284684155833,,0.010841224382046821,,0.024740663827064413,-0.022689991400805853,0.01995412296734977,-0.0027803892403517327,,,,,,,0.0,-0.0226899914008058,0.0109158443879302,0.0109158443879302,False,False,True,False,False,True,False,True,True,True
1789,META,META,Jose Najarro Stocks,2026-05-05,2026.0,buy,False,0.67,high,3.0,True,1681,-0.016950531442322392,-0.11585058275383575,-0.042662229418181985,-0.1771759559135987,-0.13255831245207816,0.027585742114433483,-0.12139999608197816,0.0016068358961076612,,-0.0008076935072764968,,0.013091745937741095,-0.02314952199228859,0.013287588512935765,-0.00323991983183447,,,,,,,0.0,-0.0231495219922885,-0.0063253387405899,-0.0063253387405899,False,False,True,False,False,True,False,True,True,True
1791,AMZN,AMZN,The Investor Channel,2026-04-17,2026.0,buy,True,0.62,high,3.0,True,1669,-0.008641549684239802,0.0059413667256695835,0.11730630760860361,0.023317754009342107,0.08862810441080038,0.02233376973436489,-0.058429030200235266,-0.08951553198178563,,-0.007099944522097168,,-0.009099612075002872,0.04824886719595045,0.017739312597397538,0.053599907433909744,,,,,,,0.0,0.0482488671959504,0.0328041731143542,0.0328041731143542,True,False,False,True,False,False,False,True,False,True
1792,GOOGL,GOOGL,Stock Moe,2026-01-12,2026.0,buy,False,0.62,high,3.0,True,1603,0.008442551104666629,0.037579786815145955,0.02235598817984763,0.3360392568224766,0.7116813558059558,0.012953821790565203,-0.07335812368982741,-0.11462513781254602,,0.014384332456806703,,0.012384857350936418,-0.004422095040041096,0.013393083816188577,-0.029711216006128027,-0.05837516058668224,0.014010297205796161,-0.06297832891526423,0.0021488937362379446,0.01788092687985514,0.0038702506676797643,0.0,-0.004422095040041,-0.0583751605866822,0.0021488937362379,False,False,True,False,False,True,False,False,True,True
1793,UBER,UBER,"Parkev Tatevosian, CFA",2026-05-11,2026.0,buy,False,0.47,medium,2.0,False,1685,0.007000142780315244,0.00037705502846008265,-0.0076215604081000254,-0.03795286369964823,-0.2825633457656387,0.02669305597041457,-0.058588218359598376,-0.018829328730544548,,0.00427264294962304,,0.0027577029581711265,,,,,,,,,,0.0,-0.0231128576437016,-0.0231128576437016,-0.0231128576437016,False,False,True,False,False,True,False,True,True,True
1794,PLTR,PLTR,Financial Education,2026-01-21,2026.0,buy,False,0.47,medium,2.0,False,1332,-0.03052877855188696,-0.06409774214570785,-0.12583997027513572,-0.11356334225643205,0.012916291494092569,0.02528967758638224,-0.14852962151648808,-0.0028772366524558723,,-0.0017756278959937255,,0.0034476021237339616,-0.0628862264593697,0.026747474143495084,-0.048267075782733926,-0.18787941889560034,0.04257129128791643,-0.18199961292348266,-0.11736731525121513,0.03641630161617133,-0.07687658968790867,0.0,-0.0628862264593697,-0.1878794188956003,-0.1173673152512151,False,False,True,False,False,True,False,False,True,True
1795,NFLX,NFLX,Learn to Invest - Investors Grow,2026-01-05,2026.0,buy,False,0.62,high,3.0,True,1598,-0.0014946974874814334,-0.028110050112556628,-0.12881026629004844,-0.2376810856496232,-0.40516446379603255,0.01750075317888029,-0.12475953573416598,-0.14617216913165598,,-0.014803487404380977,,-0.008856304031291673,-0.03323248007328905,0.005529980960654761,-0.022414120302689966,-0.1213265097008428,0.013434289197979699,-0.12355123043382688,0.11929580877499768,0.02529233614243353,0.08047234511290391,0.0,-0.033232480073289,-0.1213265097008428,0.1192958087749976,False,False,True,False,False,True,False,False,True,True
1796,META,META,"Parkev Tatevosian, CFA",2026-05-11,2026.0,buy,False,0.62,high,3.0,True,1685,-0.019944070914375667,-0.04857305580174465,-0.1372871722653516,-0.1832111456113149,-0.14002685706322937,0.023899479381319717,-0.13025924628782937,-0.143874503369808,,0.008428099577506232,,0.006913159586054318,,,,,,,,,,0.0,0.0256016466066058,0.0256016466066058,0.0256016466066058,False,False,True,False,False,True,False,True,True,True
1797,META,META,"Parkev Tatevosian, CFA",2026-05-11,2026.0,buy,False,0.62,high,3.0,True,1685,-0.019944070914375667,-0.04857305580174465,-0.1372871722653516,-0.1832111456113149,-0.14002685706322937,0.023899479381319717,-0.13025924628782937,-0.143874503369808,,0.008428099577506232,,0.006913159586054318,,,,,,,,,,0.0,0.0256016466066058,0.0256016466066058,0.0256016466066058,False,False,True,False,False,True,False,True,True,True
