strategy,holding_days,cost_bps,trade_count,average_trade_return,median_trade_return,cumulative_return,cagr_proxy,annualized_volatility,sharpe,sortino,max_drawdown,hit_rate,skew,breakeven_transaction_cost_bps,turnover_trades,top5_event_share,status
duplicate_collapsed_only,5,0,1693,0.003551,-0.000107,12.406288,0.080338,0.456329,0.392,0.732,-0.989746,0.4997,0.802291,17.76,3386,0.5558,diagnostic_event_trade_sequence
duplicate_collapsed_only,5,5,1693,0.002551,-0.001107,1.462295,0.027188,0.456329,0.282,0.521,-0.993289,0.4843,0.802291,17.76,3386,0.5558,diagnostic_event_trade_sequence
duplicate_collapsed_only,5,10,1693,0.001551,-0.002107,-0.548528,-0.023396,0.456329,0.171,0.314,-0.995822,0.4702,0.802291,17.76,3386,0.5558,diagnostic_event_trade_sequence
duplicate_collapsed_only,5,25,1693,-0.001449,-0.005107,-0.997245,-0.160944,0.456329,-0.160,-0.286,-0.999854,0.4519,0.802291,17.76,3386,0.5558,diagnostic_event_trade_sequence
duplicate_collapsed_only,5,50,1693,-0.006449,-0.010107,-0.999999,-0.349171,0.456329,-0.712,-1.223,-1.000000,0.4158,0.802291,17.76,3386,0.5558,diagnostic_event_trade_sequence
duplicate_collapsed_only,5,100,1693,-0.016449,-0.020107,-1.000000,-0.609941,0.456329,-1.817,-2.895,-1.000000,0.3485,0.802291,17.76,3386,0.5558,diagnostic_event_trade_sequence
creator_adjusted_top_quartile,5,0,198,0.016520,0.007612,11.036391,0.883803,0.623066,1.336,2.392,-0.550073,0.5859,-0.188601,82.60,396,0.6313,diagnostic_event_trade_sequence
creator_adjusted_top_quartile,5,5,198,0.015520,0.006612,8.890043,0.791939,0.623066,1.255,2.234,-0.563359,0.5808,-0.188601,82.60,396,0.6313,diagnostic_event_trade_sequence
creator_adjusted_top_quartile,5,10,198,0.014520,0.005612,7.124837,0.704469,0.623066,1.175,2.078,-0.576266,0.5606,-0.188601,82.60,396,0.6313,diagnostic_event_trade_sequence
creator_adjusted_top_quartile,5,25,198,0.011520,0.002612,3.499352,0.466413,0.623066,0.932,1.622,-0.643085,0.5404,-0.188601,82.60,396,0.6313,diagnostic_event_trade_sequence
creator_adjusted_top_quartile,5,50,198,0.006520,-0.002388,0.673597,0.140064,0.623066,0.527,0.894,-0.754197,0.4949,-0.188601,82.60,396,0.6313,diagnostic_event_trade_sequence
creator_adjusted_top_quartile,5,100,198,-0.003480,-0.012388,-0.771910,-0.313550,0.623066,-0.281,-0.453,-0.946899,0.4495,-0.188601,82.60,396,0.6313,diagnostic_event_trade_sequence
momentum_conditioned_top5,5,0,1006,0.007118,0.001958,70.787933,0.238760,0.540938,0.663,1.229,-0.992274,0.5199,0.385452,35.59,2012,1.0000,diagnostic_event_trade_sequence
momentum_conditioned_top5,5,5,1006,0.006118,0.000958,25.274877,0.177926,0.540938,0.570,1.049,-0.992928,0.5099,0.385452,35.59,2012,1.0000,diagnostic_event_trade_sequence
momentum_conditioned_top5,5,10,1006,0.005118,-0.000042,8.607068,0.120024,0.540938,0.477,0.871,-0.993528,0.4990,0.385452,35.59,2012,1.0000,diagnostic_event_trade_sequence
momentum_conditioned_top5,5,25,1006,0.002118,-0.003042,-0.533235,-0.037453,0.540938,0.197,0.353,-0.995942,0.4841,0.385452,35.59,2012,1.0000,diagnostic_event_trade_sequence
momentum_conditioned_top5,5,50,1006,-0.002882,-0.008042,-0.997041,-0.253031,0.540938,-0.269,-0.464,-0.999916,0.4483,0.385452,35.59,2012,1.0000,diagnostic_event_trade_sequence
momentum_conditioned_top5,5,100,1006,-0.012882,-0.018042,-1.000000,-0.551897,0.540938,-1.200,-1.941,-1.000000,0.3966,0.385452,35.59,2012,1.0000,diagnostic_event_trade_sequence
