event_id,ticker,company_name,event_date,effective_trading_event_date,sec_confounded_flag,gdelt_article_count_pm5,gdelt_major_news_flag_pm5,free_news_confounded_flag,free_news_clean_flag,free_news_unknown_flag,provider_coverage_status,ar_1d,ar_5d,timing_bucket,duplicate_cluster_size,top5_flag
455,AMD,AMD,2025-09-25,2025-09-25,False,5,True,True,False,False,gdelt_only,0.012347,0.00426,before_open,1,True
456,SHOP,Shopify,2024-05-13,2024-05-13,False,1,False,False,True,False,gdelt_only,0.011353,0.06265,after_close,3,False
457,SHOP,Shopify,2024-05-13,2024-05-13,False,0,False,False,True,False,gdelt_only,0.011353,0.06265,after_close,3,False
458,SHOP,Shopify,2024-05-13,2024-05-13,False,0,False,False,True,False,gdelt_only,0.011353,0.06265,after_close,3,False
459,NVDA,Nvidia,2024-03-09,2024-03-11,True,5,True,True,False,False,gdelt_only,-0.025919,-0.063552,weekend_or_holiday,2,True
460,NVDA,Nvidia,2024-03-09,2024-03-11,True,5,True,True,False,False,gdelt_only,-0.025919,-0.063552,weekend_or_holiday,2,True
461,TSLA,Tesla,2024-03-09,2024-03-11,False,7,True,True,False,False,gdelt_only,-0.025919,-0.063552,weekend_or_holiday,1,True
462,GOOGL,Alphabet,2024-03-09,2024-03-11,False,0,False,False,True,False,gdelt_only,-0.025919,-0.063552,weekend_or_holiday,1,False
463,AMZN,Amazon,2024-10-05,2024-10-07,False,6,True,True,False,False,gdelt_only,-0.025919,-0.063552,weekend_or_holiday,1,True
464,PYPL,PayPal,2024-10-05,2024-10-07,False,0,False,False,True,False,gdelt_only,-0.025919,-0.063552,weekend_or_holiday,2,False
465,PYPL,PayPal,2024-10-05,2024-10-07,False,0,False,False,True,False,gdelt_only,-0.025919,-0.063552,weekend_or_holiday,2,False
466,NVDA,Nvidia,2025-11-15,2025-11-17,True,5,True,True,False,False,gdelt_only,-0.025919,-0.063552,weekend_or_holiday,1,True
467,META,Meta,2025-11-07,2025-11-07,True,1,False,True,False,False,gdelt_only,-0.025919,-0.063552,during_market,1,False
468,SOFI,SoFi,2025-11-07,2025-11-07,True,1,False,True,False,False,gdelt_only,-0.025919,-0.063552,during_market,1,False
469,META,Meta,2025-02-21,2025-02-21,True,0,False,True,False,False,gdelt_only,-0.025919,-0.063552,before_open,1,False
470,GOOGL,Alphabet,2025-11-14,2025-11-14,False,1,False,False,True,False,gdelt_only,0.001475,0.106629,after_close,2,False
471,GOOGL,Alphabet,2025-11-14,2025-11-14,False,1,False,False,True,False,gdelt_only,0.002906,0.006275,after_close,2,False
472,AMD,AMD,2025-11-14,2025-11-14,False,7,True,True,False,False,gdelt_only,0.002404,0.005873,after_close,1,True
473,NVDA,Nvidia,2024-02-02,2024-02-02,False,5,True,True,False,False,gdelt_only,0.002404,0.005873,during_market,2,True
474,GOOGL,Alphabet,2024-02-02,2024-02-02,True,1,False,True,False,False,gdelt_only,0.023678,0.036966,during_market,2,False
475,NVDA,Nvidia,2025-10-03,2025-10-03,False,6,True,True,False,False,gdelt_only,0.013396,0.022104,before_open,3,True
476,NVDA,Nvidia,2025-10-03,2025-10-03,False,6,True,True,False,False,gdelt_only,-0.005341,-0.003618,before_open,3,True
477,NVDA,Nvidia,2024-09-04,2024-09-04,True,5,True,True,False,False,gdelt_only,-0.005341,-0.003618,after_close,2,True
478,NVDA,Nvidia,2024-09-04,2024-09-04,True,6,True,True,False,False,gdelt_only,-0.050219,0.022845,after_close,2,True
479,AAPL,Apple,2024-09-04,2024-09-04,True,6,True,True,False,False,gdelt_only,-0.00719,-0.020344,after_close,1,True
480,NVDA,Nvidia,2024-01-30,2024-01-30,False,7,True,True,False,False,gdelt_only,0.009592,-0.022681,after_close,1,True
481,PYPL,PayPal,2025-09-13,2025-09-15,False,1,False,False,True,False,gdelt_only,0.016073,-0.020317,weekend_or_holiday,1,False
482,PYPL,PayPal,2025-09-12,2025-09-12,False,1,False,False,True,False,gdelt_only,0.017918,-0.103618,during_market,1,False
483,NVDA,Nvidia,2025-11-19,2025-11-19,True,7,True,True,False,False,gdelt_only,-0.010814,-0.013396,after_close,3,True
484,NVDA,Nvidia,2025-11-19,2025-11-19,True,7,True,True,False,False,gdelt_only,-0.010814,-0.013396,after_close,3,True
485,NVDA,Nvidia,2024-08-09,2024-08-09,False,7,True,True,False,False,gdelt_only,0.002744,-0.02417,during_market,1,True
486,AAPL,Apple,2024-08-09,2024-08-09,True,7,True,True,False,False,gdelt_only,0.017728,-0.024189,during_market,1,True
487,PYPL,PayPal,2025-11-26,2025-11-26,False,1,False,False,True,False,gdelt_only,0.003579,-0.027401,during_market,1,False
488,TSLA,Tesla,2025-11-26,2025-11-26,False,7,True,True,False,False,gdelt_only,0.060468,0.103405,during_market,1,True
489,GOOGL,Alphabet,2024-07-23,2024-07-23,True,0,False,True,False,False,gdelt_only,-0.026697,-6.5e-05,after_close,3,False
490,GOOGL,Alphabet,2024-07-23,2024-07-23,True,0,False,True,False,False,gdelt_only,-0.009884,0.065207,after_close,3,False
491,GOOGL,Alphabet,2024-07-23,2024-07-23,True,1,False,True,False,False,gdelt_only,0.071213,0.018459,after_close,3,False
492,AMZN,Amazon,2024-07-23,2024-07-23,False,6,True,True,False,False,gdelt_only,0.002899,0.034947,after_close,1,True
493,GOOGL,Alphabet,2024-04-24,2024-04-24,True,0,False,True,False,False,gdelt_only,-0.028097,-0.012627,after_close,1,False
494,AMZN,Amazon,2024-04-30,2024-04-30,True,6,True,True,False,False,gdelt_only,,,after_close,1,True
