section,group,metric,n,mean,median,t_stat,p_value
by_creator,HyperChange,abnormal_return_5d,76,-0.008079907894736837,-0.021035,-0.6164586382339052,0.5394585583924019
by_creator,Daniel Pronk,abnormal_return_5d,68,-0.0022040882352941174,-0.0039515,-0.344019748522161,0.7319087982816534
by_creator,Ticker Symbol: YOU,abnormal_return_5d,66,-0.0017364696969696984,-0.002057,-0.2556881343478205,0.7989990623332557
by_creator,Financial Education,abnormal_return_5d,61,0.03385503278688526,-0.005071,3.2099617262044093,0.0021334075978540756
by_creator,"Value Investing with Sven Carlin, Ph.D.",abnormal_return_5d,51,0.00475072549019608,0.00829,0.797496990903119,0.42893362209078534
by_creator,Sasha Yanshin,abnormal_return_5d,49,-0.006945959183673468,0.012461,-0.6084294305626756,0.5457712515177386
by_creator,Joseph Carlson,abnormal_return_5d,44,-0.004432159090909091,0.0024675,-0.948002946867956,0.34842553335538384
by_creator,Learn to Invest - Investors Grow,abnormal_return_5d,41,0.030353560975609758,0.011578,2.9392923135387825,0.005441181527114258
by_creator,Everything Money,abnormal_return_5d,34,0.012581088235294116,-0.0068509999999999995,1.036160226266887,0.3076608900626683
by_creator,New Money,abnormal_return_5d,28,0.006649535714285712,0.0166275,1.3511436804430985,0.18786361957076636
by_creator,Chicken Genius Singapore,abnormal_return_5d,21,0.016819142857142855,-6.5e-05,1.5077050192910368,0.14726440455649636
by_creator,Investing with Tom,abnormal_return_5d,20,0.0135623,0.003725,0.6852811061348909,0.5014424979820933
by_creator,Ale's World of Stocks,abnormal_return_5d,19,-0.00908821052631579,-0.007722,-0.8414346505122594,0.4111442723173999
by_creator,STOCK UP! with LARRY JONES,abnormal_return_5d,18,-0.00461411111111111,0.0013525,-0.398307299738588,0.6953615646945952
by_creator,Tom Nash,abnormal_return_5d,18,0.024581888888888886,-0.0025425,1.1741321740882908,0.2565286686287189
by_creator,ZipTrader,abnormal_return_5d,17,0.01981482352941177,0.036669,0.823884451216594,0.42211710950767944
by_creator,"Parkev Tatevosian, CFA",abnormal_return_5d,15,-0.020165266666666667,-0.038877,-1.5306346172379643,0.14813859940304996
by_recommendation_type,buy,abnormal_return_1d,1190,0.0030811226890756303,0.000288,3.3710473474288665,0.0007728838749248013
by_recommendation_type,sell,abnormal_return_1d,326,0.0014387085889570545,0.002719,0.710790661189357,0.47772373923414246
by_recommendation_type,buy,abnormal_return_5d,1177,0.0055487663551401865,0.000145,2.9586644057248046,0.0031515760071658683
by_recommendation_type,sell,abnormal_return_5d,326,0.004104680981595092,0.0034665,1.2240841021070283,0.22180712338844666
by_year,2025,abnormal_return_1d,466,0.0009935708154506441,-4.9e-05,0.8978477867430429,0.3697313415648269
by_year,2026,abnormal_return_1d,399,0.0005490877192982451,-0.000772,0.30120862620611283,0.7634127137468023
by_year,2024,abnormal_return_1d,373,0.008419477211796247,0.002862,3.909914977181555,0.00010972095435635154
by_year,2023,abnormal_return_1d,160,0.00330276875,0.001231,3.3130210139204292,0.0011427454279511196
by_year,2022,abnormal_return_1d,70,-0.00849524285714286,-0.006823,-2.805622444464361,0.006519980429508632
by_year,2020,abnormal_return_1d,32,0.0019017187499999998,0.0031314999999999997,0.24207048016610186,0.8103198414738717
by_year,2021,abnormal_return_1d,16,0.0198980625,0.021673,2.15313373156515,0.047988911214868146
by_year,2025,abnormal_return_5d,466,0.004641609442060087,-0.003001,1.9591936823623393,0.05068722186340113
by_year,2026,abnormal_return_5d,386,0.0037931528497409323,0.003208,1.174606595078565,0.24087813694537807
by_year,2024,abnormal_return_5d,373,0.01692102949061662,0.001898,4.393245872481636,1.458214420457793e-05
by_year,2023,abnormal_return_5d,160,0.007717343749999999,0.008851000000000001,2.6090617032854038,0.009945337859964098
by_year,2022,abnormal_return_5d,70,-0.05167887142857143,-0.0317675,-5.461007580629162,7.009250331257988e-07
by_year,2020,abnormal_return_5d,32,0.022556875,0.0150185,1.44709163419012,0.1579086558827969
by_year,2021,abnormal_return_5d,16,-0.0255463125,-0.039652,-2.106688270785152,0.052391461620702184
overall,all_events,abnormal_return_1d,1516,0.0027279386543535627,0.000773,3.251377366218751,0.001173716437719241
overall,all_events,abnormal_return_5d,1503,0.005235544910179641,0.000422,3.1954389670695345,0.0014252038092472663
