event_id,ticker,event_date,control_date,treated_5d_ar,control_5d_ar,difference
56,NVDA,2025-08-25,2021-08-11,-0.046795,-0.023088,-0.023708
57,NVDA,2025-08-25,2021-08-11,-0.046795,-0.023088,-0.023708
58,TSLA,2023-08-07,2023-08-28,-0.040722,0.059353,-0.100075
59,AMZN,2023-08-07,2023-08-15,-0.005833,-0.014140,0.008306
60,NVDA,2025-08-28,2021-08-05,-0.070397,-0.043053,-0.027344
61,GOOGL,2025-08-28,2021-08-03,0.112965,0.005210,0.107755
62,TSLA,2023-07-21,2025-07-08,0.014208,0.040650,-0.026442
63,MSFT,2023-10-26,2021-10-28,0.018167,0.018532,-0.000365
64,GOOGL,2023-10-26,2022-10-05,-0.001533,0.016289,-0.017822
65,TSLA,2023-10-26,2022-10-06,0.017825,-0.049539,0.067364
66,SOFI,2025-09-12,2024-09-18,0.099121,-0.065360,0.164481
67,NVDA,2025-09-12,2021-09-30,-0.018834,-0.004854,-0.013980
68,NFLX,2026-03-04,2026-03-18,-0.025368,-0.021297,-0.004071
69,NVDA,2025-08-21,2022-08-19,0.008624,-0.049156,0.057780
70,MSFT,2025-08-21,2022-08-02,-0.010328,0.019155,-0.029483
71,DIS,2026-02-12,2020-02-18,0.019279,-0.007186,0.026465
72,UBER,2025-07-15,2022-07-21,-0.015356,-0.056225,0.040868
73,NFLX,2023-04-18,2020-04-28,-0.013785,0.050021,-0.063806
74,NFLX,2023-04-18,2020-04-28,-0.013785,0.050021,-0.063806
75,GOOGL,2023-04-18,2022-04-06,0.013408,-0.041541,0.054949
76,NVDA,2024-02-22,2021-02-25,0.006166,-0.055705,0.061870
77,MSFT,2026-03-06,2020-03-03,-0.017784,0.017546,-0.035330
78,AMZN,2026-03-06,2022-03-11,-0.010977,0.046572,-0.057550
79,DIS,2024-08-09,2025-08-20,-0.004158,-0.004381,0.000223
80,PYPL,2025-09-17,2019-09-24,-0.016769,-0.002298,-0.014471
81,META,2025-09-17,2024-09-19,-0.024446,0.010246,-0.034692
82,DIS,2023-09-15,2025-09-19,-0.021388,0.000283,-0.021671
83,AAPL,2023-09-15,2022-09-20,0.027951,0.021160,0.006791
84,GOOGL,2025-07-25,2022-07-11,0.003176,-0.051524,0.054699
85,NVDA,2023-07-24,2022-07-27,0.039550,0.028563,0.010987
86,NVDA,2023-07-24,2022-07-27,0.039550,0.028563,0.010987
87,GOOGL,2025-08-20,2023-08-02,0.027587,0.019701,0.007886
88,META,2026-02-24,2020-02-20,0.034896,0.001335,0.033561
89,GOOGL,2023-03-17,2021-03-01,0.022821,-0.009859,0.032680
90,GOOGL,2023-03-17,2021-03-01,0.022821,-0.009859,0.032680
91,AAPL,2023-03-17,2020-03-17,0.019101,0.008867,0.010234
92,AAPL,2023-03-17,2020-03-17,0.019101,0.008867,0.010234
93,NFLX,2023-03-17,2021-03-10,0.067240,0.019728,0.047512
94,NVDA,2023-03-17,2020-03-05,0.026202,-0.028803,0.055005
95,MSFT,2023-07-21,2022-07-19,-0.026191,-0.025881,-0.000310
96,NVDA,2023-07-21,2020-07-24,0.044608,0.023647,0.020961
97,NVDA,2023-11-24,2019-11-06,-0.029507,-0.001985,-0.027522
98,AAPL,2023-11-24,2021-11-29,-0.001661,0.044208,-0.045869
99,MSFT,2023-11-24,2021-11-12,-0.016083,0.017375,-0.033457
100,NVDA,2025-08-13,2022-08-10,-0.023574,-0.002706,-0.020868
101,NVDA,2025-08-13,2022-08-10,-0.023574,-0.002706,-0.020868
102,NVDA,2023-02-27,2020-02-24,-0.014691,0.053475,-0.068166
103,NFLX,2023-02-27,2021-02-18,-0.050999,0.018700,-0.069699
104,MSFT,2023-02-27,2022-02-11,0.009877,-0.007936,0.017813
105,AMZN,2023-02-27,2022-02-01,-0.017053,0.072033,-0.089086
106,GOOGL,2023-02-27,2024-02-29,0.041583,-0.042713,0.084296
107,TSLA,2023-01-26,2021-01-22,0.144983,-0.029273,0.174256
108,TSLA,2023-01-26,2021-01-22,0.144983,-0.029273,0.174256
109,NVDA,2025-08-07,2020-08-13,-0.013172,0.056693,-0.069865
110,TSLA,2024-01-25,2023-01-13,0.031715,0.169083,-0.137368
111,AMZN,2026-02-18,2022-02-04,0.018570,-0.009205,0.027775
112,META,2026-02-18,2021-02-11,0.006282,-0.030916,0.037198
113,MSFT,2024-08-02,2025-08-29,-0.006216,-0.022616,0.016400
114,NVDA,2025-07-16,2020-07-10,-0.019447,-0.039509,0.020062
115,NVDA,2025-07-16,2020-07-10,-0.019447,-0.039509,0.020062
116,AMD,2025-07-16,2020-07-29,-0.024937,0.099673,-0.124610
117,NVDA,2024-02-08,2020-02-20,0.035917,-0.064191,0.100108
118,GOOGL,2024-02-08,2023-02-16,-0.028925,-0.037653,0.008728
119,AMD,2023-01-26,2020-01-02,0.145238,-0.008127,0.153365
120,TSLA,2023-07-05,2020-07-30,-0.043657,-0.030605,-0.013053
121,GOOGL,2023-07-05,2022-07-26,-0.029684,0.052342,-0.082026
122,MSFT,2023-07-07,2025-07-08,-0.000684,0.015624,-0.016308
123,AAPL,2023-07-07,2024-07-15,-0.024414,-0.032287,0.007873
124,AMZN,2023-07-07,2021-07-30,0.013289,-0.003862,0.017151
125,GOOGL,2023-07-07,2023-07-24,0.025248,0.084172,-0.058924
126,GOOGL,2025-08-19,2021-08-31,0.019271,-0.005517,0.024788
127,NVDA,2025-08-28,2021-08-05,-0.070397,-0.043053,-0.027344
128,GOOGL,2025-08-28,2021-08-03,0.112965,0.005210,0.107755
129,GOOGL,2025-09-04,2020-09-03,0.022555,-0.037003,0.059558
130,AAPL,2023-03-31,2020-03-26,-0.017942,-0.016402,-0.001539
131,AMZN,2023-02-02,2020-02-13,-0.106677,-0.014450,-0.092227
132,PYPL,2025-09-03,2021-09-21,-0.070596,-0.027295,-0.043300
133,AAPL,2025-09-03,2020-09-01,-0.062137,-0.089322,0.027185
134,TSLA,2023-11-06,2023-11-14,0.009920,0.005846,0.004074
135,NVDA,2025-07-16,2020-07-10,-0.019447,-0.039509,0.020062
136,AMD,2026-02-23,2022-02-01,0.004428,0.102485,-0.098058
137,AMD,2026-02-23,2022-02-01,0.004428,0.102485,-0.098058
138,PYPL,2025-08-19,2021-08-17,0.008003,0.022171,-0.014168
139,PYPL,2025-08-19,2021-08-17,0.008003,0.022171,-0.014168
140,SOFI,2025-08-19,2024-08-02,0.117792,-0.001673,0.119465
141,GOOGL,2025-08-19,2021-08-31,0.019271,-0.005517,0.024788
142,AAPL,2023-09-22,2020-09-16,-0.013651,-0.000738,-0.012913
143,AMZN,2023-09-22,2022-09-29,-0.008659,0.019215,-0.027874
144,GOOGL,2023-09-22,2019-09-24,0.011514,-0.001231,0.012745
145,TSLA,2023-09-22,2024-09-06,0.028637,0.052754,-0.024117
146,TSLA,2023-09-22,2024-09-06,0.028637,0.052754,-0.024117
147,NVDA,2023-02-17,2020-02-21,0.122194,0.030547,0.091647
148,AMD,2026-02-25,2022-02-02,-0.030116,0.081778,-0.111893
149,NVDA,2026-03-12,2022-03-18,-0.015610,0.028459,-0.044068
150,AMD,2025-08-14,2021-08-20,-0.080700,0.048960,-0.129660
151,NVDA,2025-08-22,2021-08-20,-0.021003,0.071892,-0.092895
152,MSFT,2024-08-12,2020-08-12,-0.011342,0.005483,-0.016825
153,MSFT,2024-08-12,2020-08-12,-0.011342,0.005483,-0.016825
154,MSFT,2024-08-12,2020-08-12,-0.011342,0.005483,-0.016825
155,MSFT,2024-08-12,2020-08-12,-0.011342,0.005483,-0.016825
156,MSFT,2024-08-12,2020-08-12,-0.011342,0.005483,-0.016825
157,MSFT,2024-08-12,2020-08-12,-0.011342,0.005483,-0.016825
158,TSLA,2025-09-15,2020-09-17,0.047176,-0.051282,0.098458
159,TSLA,2025-09-15,2020-09-17,0.047176,-0.051282,0.098458
160,NVDA,2025-09-15,2021-09-29,0.021198,0.007884,0.013314
161,NVDA,2025-09-15,2021-09-29,0.021198,0.007884,0.013314
162,AMD,2025-08-05,2022-08-08,-0.019769,-0.029034,0.009265
163,GOOGL,2025-08-05,2023-08-01,0.021096,0.015794,0.005303
164,AMZN,2025-08-05,2020-08-17,0.012676,0.024468,-0.011792
165,MSFT,2026-03-09,2020-03-19,-0.009483,0.001485,-0.010969
166,MSFT,2026-03-09,2020-03-19,-0.009483,0.001485,-0.010969
167,AMZN,2024-01-05,2023-01-09,0.045862,0.073923,-0.028062
168,MSFT,2024-09-20,2021-09-16,-0.022323,-0.012796,-0.009526
169,NVDA,2023-12-15,2020-12-29,-0.010432,-0.031026,0.020594
170,TSLA,2023-08-04,2023-08-28,-0.041562,0.059353,-0.100915
171,NVDA,2023-08-04,2020-08-11,-0.083013,0.112475,-0.195487
172,AMD,2025-08-05,2022-08-08,-0.019769,-0.029034,0.009265
173,AMD,2025-08-05,2022-08-08,-0.019769,-0.029034,0.009265
174,GOOGL,2025-08-05,2023-08-01,0.021096,0.015794,0.005303
175,AMZN,2025-08-05,2020-08-17,0.012676,0.024468,-0.011792
176,UBER,2026-03-03,2024-03-19,-0.047753,0.004757,-0.052510
177,MSFT,2023-01-25,2021-01-07,0.024353,-0.022454,0.046807
178,NVDA,2025-07-21,2020-07-10,0.018340,-0.039509,0.057849
179,AMD,2025-08-05,2022-08-08,-0.019769,-0.029034,0.009265
180,AMD,2025-08-05,2022-08-08,-0.019769,-0.029034,0.009265
181,NVDA,2025-08-18,2020-08-07,-0.010797,0.025761,-0.036558
183,NVDA,2023-08-18,2021-08-20,0.054846,0.071892,-0.017046
184,GOOGL,2023-08-18,2023-08-01,0.011037,0.015794,-0.004757
185,MSFT,2023-08-18,2020-08-05,0.012589,-0.033660,0.046248
186,DIS,2023-02-08,2024-02-29,-0.030832,-0.025793,-0.005039
187,NVDA,2025-07-25,2020-07-02,0.025409,0.073031,-0.047622
188,AMZN,2023-04-27,2021-04-26,-0.035343,-0.008016,-0.027327
189,NVDA,2025-07-16,2020-07-10,-0.019447,-0.039509,0.020062
190,MSFT,2026-03-10,2020-03-11,-0.006213,0.039121,-0.045335
191,MSFT,2026-03-10,2020-03-11,-0.006213,0.039121,-0.045335
192,MSFT,2023-09-25,2020-09-01,0.024798,-0.033983,0.058781
193,AMD,2025-08-11,2020-08-25,0.010800,0.042873,-0.032073
194,NVDA,2025-08-11,2022-08-09,-0.011880,0.060331,-0.072211
195,PYPL,2025-08-18,2021-08-24,0.000571,0.024722,-0.024151
196,SOFI,2025-08-18,2024-08-06,0.080531,-0.005433,0.085964
197,GOOGL,2025-08-18,2021-08-18,0.025811,0.026793,-0.000982
198,AMD,2025-08-11,2020-08-25,0.010800,0.042873,-0.032073
199,AMD,2025-08-11,2020-08-25,0.010800,0.042873,-0.032073
200,AMD,2025-08-11,2020-08-25,0.010800,0.042873,-0.032073
201,AMD,2025-08-11,2020-08-25,0.010800,0.042873,-0.032073
202,NVDA,2025-08-11,2022-08-09,-0.011880,0.060331,-0.072211
203,NVDA,2025-08-11,2022-08-09,-0.011880,0.060331,-0.072211
204,UBER,2026-03-19,2023-03-02,-0.043954,-0.024954,-0.019000
205,UBER,2026-03-19,2023-03-02,-0.043954,-0.024954,-0.019000
206,AAPL,2024-01-18,2023-01-13,0.005151,0.041776,-0.036625
207,AAPL,2024-01-18,2023-01-13,0.005151,0.041776,-0.036625
208,NVDA,2024-01-18,2020-01-08,0.054756,0.010064,0.044692
209,GOOGL,2024-01-18,2021-01-21,0.034256,0.000776,0.033480
210,PYPL,2023-08-07,2021-08-23,-0.012083,0.030371,-0.042454
211,AMD,2026-02-09,2023-02-22,-0.043819,0.031464,-0.075284
212,AMD,2026-02-09,2023-02-22,-0.043819,0.031464,-0.075284
213,AMD,2026-02-09,2023-02-22,-0.043819,0.031464,-0.075284
214,NVDA,2026-02-09,2021-02-26,-0.010683,-0.099960,0.089277
215,NVDA,2025-08-11,2022-08-09,-0.011880,0.060331,-0.072211
216,TSLA,2023-04-19,2022-04-27,-0.125009,0.052413,-0.177422
217,NVDA,2023-04-19,2020-04-28,-0.011292,0.006559,-0.017851
218,PYPL,2025-08-25,2023-08-24,0.000114,-0.001159,0.001273
219,NFLX,2023-03-24,2024-03-26,0.017575,0.000178,0.017397
220,AAPL,2023-04-28,2022-04-06,0.030860,-0.001133,0.031993
221,AAPL,2023-04-28,2022-04-06,0.030860,-0.001133,0.031993
222,AMZN,2023-04-28,2021-04-27,0.009926,-0.026338,0.036264
223,TSLA,2023-04-28,2020-04-03,0.042929,0.245436,-0.202508
224,GOOGL,2025-09-02,2020-09-03,0.119108,-0.037003,0.156111
225,AAPL,2023-04-10,2021-04-19,0.009179,-0.006670,0.015849
226,NVDA,2025-08-27,2021-08-05,-0.058586,-0.043053,-0.015533
227,NVDA,2025-08-27,2021-08-05,-0.058586,-0.043053,-0.015533
228,NVDA,2023-07-14,2023-07-03,-0.031967,0.002808,-0.034775
230,META,2023-02-16,2024-02-07,0.017258,0.006914,0.010344
231,AMZN,2023-02-16,2022-02-15,-0.018230,-0.020514,0.002284
232,MSFT,2026-02-19,2021-02-26,0.001140,-0.011953,0.013093
233,GOOGL,2023-04-25,2022-04-06,0.002433,-0.041541,0.043974
234,NFLX,2026-03-10,2026-03-18,-0.017178,-0.021297,0.004118
235,UBER,2026-02-09,2022-02-03,-0.029736,0.086845,-0.116581
236,MSFT,2026-02-24,2021-02-26,0.048593,-0.011953,0.060547
237,MSFT,2026-02-24,2021-02-26,0.048593,-0.011953,0.060547
238,TSLA,2023-04-21,2020-04-03,-0.013713,0.245436,-0.259150
239,TSLA,2023-04-21,2020-04-03,-0.013713,0.245436,-0.259150
240,AMC,2023-03-28,2020-03-31,-0.273815,-0.034961,-0.238854
241,AMZN,2023-03-28,2022-03-22,0.035966,0.000240,0.035726
242,AMZN,2023-03-28,2022-03-22,0.035966,0.000240,0.035726
243,AMZN,2023-03-28,2022-03-22,0.035966,0.000240,0.035726
244,DIS,2023-11-17,2019-11-19,0.002648,0.015078,-0.012430
245,AAPL,2023-11-17,2019-11-25,-0.007659,-0.013789,0.006130
246,AAPL,2025-09-15,2021-09-22,0.070106,-0.012918,0.083024
247,TSLA,2023-07-19,2022-07-05,-0.093073,0.002973,-0.096045
248,META,2026-03-09,2024-03-18,-0.016348,-0.001320,-0.015028
249,MSFT,2024-02-12,2022-02-11,-0.019812,-0.007936,-0.011876
250,MSFT,2023-03-08,2022-03-30,0.070440,-0.019200,0.089640
251,MSFT,2024-10-02,2019-10-22,-0.013764,0.033325,-0.047089
252,NVDA,2025-08-11,2022-08-09,-0.011880,0.060331,-0.072211
