ticker,provider,endpoint,status,error_class_safe,ts_utc
AMZN,FMP,ratings-historical,http_429,http_429,2026-05-17T03:07:43.359556+00:00
AMZN,FMP,grades,http_429,http_429,2026-05-17T03:07:49.490601+00:00
AMZN,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:07:55.624274+00:00
AMZN,FMP,price-target-summary,http_429,http_429,2026-05-17T03:08:01.838024+00:00
AMZN,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:08:07.967344+00:00
AMZN,Finnhub,stock/recommendation,ok,,2026-05-17T03:08:08.588757+00:00
AMZN,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:08:08.951946+00:00
AMZN,yfinance,info,ok,,2026-05-17T03:08:09.391052+00:00
AMZN,yfinance,ticker,ok,,2026-05-17T03:08:09.555409+00:00
COIN,FMP,ratings-historical,http_429,http_429,2026-05-17T03:08:15.332271+00:00
COIN,FMP,grades,http_429,http_429,2026-05-17T03:08:21.503354+00:00
COIN,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:08:27.640178+00:00
COIN,FMP,price-target-summary,http_429,http_429,2026-05-17T03:08:33.771582+00:00
COIN,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:08:39.911422+00:00
COIN,Finnhub,stock/recommendation,ok,,2026-05-17T03:08:40.536753+00:00
COIN,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:08:40.898163+00:00
COIN,yfinance,info,ok,,2026-05-17T03:08:41.283099+00:00
COIN,yfinance,ticker,ok,,2026-05-17T03:08:41.384755+00:00
CRM,FMP,ratings-historical,http_429,http_429,2026-05-17T03:08:47.168780+00:00
CRM,FMP,grades,http_429,http_429,2026-05-17T03:08:53.300038+00:00
CRM,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:08:59.428479+00:00
CRM,FMP,price-target-summary,http_429,http_429,2026-05-17T03:09:05.559237+00:00
CRM,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:09:11.688741+00:00
CRM,Finnhub,stock/recommendation,ok,,2026-05-17T03:09:12.337783+00:00
CRM,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:09:12.707968+00:00
CRM,yfinance,info,ok,,2026-05-17T03:09:13.093161+00:00
CRM,yfinance,ticker,ok,,2026-05-17T03:09:13.251744+00:00
DIS,FMP,ratings-historical,http_429,http_429,2026-05-17T03:09:19.032286+00:00
DIS,FMP,grades,http_429,http_429,2026-05-17T03:09:25.166287+00:00
DIS,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:09:31.289196+00:00
DIS,FMP,price-target-summary,http_429,http_429,2026-05-17T03:09:37.420159+00:00
DIS,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:09:43.538624+00:00
DIS,Finnhub,stock/recommendation,ok,,2026-05-17T03:09:44.161075+00:00
DIS,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:09:44.529872+00:00
DIS,yfinance,info,ok,,2026-05-17T03:09:44.916223+00:00
DIS,yfinance,ticker,ok,,2026-05-17T03:09:45.020873+00:00
GOOGL,FMP,ratings-historical,http_429,http_429,2026-05-17T03:09:50.795331+00:00
GOOGL,FMP,grades,http_429,http_429,2026-05-17T03:09:56.922506+00:00
GOOGL,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:10:03.054078+00:00
GOOGL,FMP,price-target-summary,http_429,http_429,2026-05-17T03:10:09.303040+00:00
GOOGL,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:10:15.428937+00:00
GOOGL,Finnhub,stock/recommendation,ok,,2026-05-17T03:10:16.052597+00:00
GOOGL,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:10:16.421978+00:00
GOOGL,yfinance,info,ok,,2026-05-17T03:10:16.855771+00:00
GOOGL,yfinance,ticker,ok,,2026-05-17T03:10:17.014283+00:00
HOOD,FMP,ratings-historical,http_429,http_429,2026-05-17T03:10:22.791156+00:00
HOOD,FMP,grades,http_429,http_429,2026-05-17T03:10:28.921899+00:00
HOOD,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:10:35.059581+00:00
HOOD,FMP,price-target-summary,http_429,http_429,2026-05-17T03:10:41.188216+00:00
HOOD,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:10:47.318109+00:00
HOOD,Finnhub,stock/recommendation,ok,,2026-05-17T03:10:47.927926+00:00
HOOD,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:10:48.298319+00:00
HOOD,yfinance,info,ok,,2026-05-17T03:10:48.685914+00:00
HOOD,yfinance,ticker,ok,,2026-05-17T03:10:48.780389+00:00
META,FMP,ratings-historical,http_429,http_429,2026-05-17T03:10:54.600668+00:00
META,FMP,grades,http_429,http_429,2026-05-17T03:11:00.735157+00:00
