event_id,creator,ticker,recommendation_type,pre_event_return_20_1,pre_event_abnormal_return_20_1,pre_event_return_5_1,pre_event_abnormal_return_5_1,event_day_return_0_1,event_day_abnormal_return_0_1,post_event_return_0_5,post_event_abnormal_return_0_5,post_event_return_5_20,post_event_abnormal_return_5_20,post_event_return_0_20,post_event_abnormal_return_0_20,momentum_decile,short_momentum_decile,reversal_flag,continuation_flag,event_quality_score
408,Dividend Bull,AMC,sell,-0.146789,-0.169886,-0.088235,-0.091804,-0.012739,-0.006381,-0.060510,-0.053921,0.027119,0.043814,-0.035032,-0.011859,1,1,False,True,77
409,Dividend Bull,TSLA,sell,-0.179691,-0.201266,-0.029622,-0.030132,-0.015093,-0.014084,0.034995,0.042929,0.135893,0.117984,0.175644,0.165810,1,3,True,False,55
410,Dividend Bull,NVDA,sell,0.049752,0.005963,-0.046318,-0.049291,0.023917,0.021187,0.047454,0.039550,0.005093,0.045395,0.052789,0.085505,6,2,False,True,64
411,Dividend Bull,NVDA,sell,0.049752,0.005963,-0.046318,-0.049291,0.023917,0.021187,0.047454,0.039550,0.005093,0.045395,0.052789,0.085505,6,2,False,True,71
412,Dividend Bull,NVDA,buy,-0.022752,-0.071127,0.017766,-0.007897,0.024279,0.018654,-0.001227,-0.010432,0.147922,0.150793,0.146513,0.140206,3,5,False,True,72
413,Dividend Bull,PLTR,buy,0.033966,-0.000455,0.052099,0.032601,0.010863,0.011027,-0.095242,-0.066211,0.178658,0.133863,0.066399,0.051936,6,9,False,True,70
414,Stock Moe,NFLX,buy,-0.010596,-0.136525,-0.025203,-0.032568,0.009850,0.014716,-0.003831,-0.007802,,,,,2,3,False,True,66
415,Meet Kevin,AMZN,buy,-0.008062,-0.019082,0.001680,0.003061,-0.018716,-0.020549,0.067022,0.055892,-0.028381,-0.031949,0.036739,0.022001,5,6,True,False,73
416,Stock Moe,GOOGL,buy,0.016333,0.010548,0.032651,0.023371,0.010013,0.008443,0.004352,0.007824,-0.017212,-0.020523,-0.012935,-0.012762,6,8,False,True,76
417,Stock Moe,GOOGL,buy,0.016333,0.010548,0.032651,0.023371,0.010013,0.008443,0.004352,0.007824,-0.017212,-0.020523,-0.012935,-0.012762,6,8,False,True,66
418,Stock Moe,UBER,buy,0.040756,0.034971,0.057084,0.047804,-0.009012,-0.010583,-0.006905,-0.003433,-0.128933,-0.132244,-0.134948,-0.134776,7,9,True,False,79
419,Stock Moe,AAPL,sell,-0.070808,-0.076593,-0.044168,-0.053448,0.003393,0.001822,-0.014805,-0.011333,0.075713,0.072402,0.059787,0.059960,3,2,False,True,68
420,Financial Education,META,buy,-0.025359,-0.047526,-0.027132,-0.033208,0.008578,0.005855,0.052167,0.054166,0.003366,0.014557,0.055709,0.068876,4,3,True,False,59
421,Financial Education,META,buy,-0.025359,-0.047526,-0.027132,-0.033208,0.008578,0.005855,0.052167,0.054166,0.003366,0.014557,0.055709,0.068876,4,3,True,False,69
422,Stock Moe,AAPL,buy,-0.094116,-0.092451,-0.029312,-0.025798,0.011198,0.007213,0.057163,0.053294,0.008832,0.020422,0.066500,0.074266,2,3,True,False,84
423,Stock Moe,TSLA,buy,-0.036213,-0.037380,-0.078116,-0.067773,-0.041424,-0.047371,-0.006000,-0.016818,-0.060139,-0.052040,-0.065778,-0.068410,4,2,False,True,76
424,ZipTrader,SMCI,buy,0.054941,0.053459,0.102991,0.107701,-0.028391,-0.033469,-0.081703,-0.085679,0.054964,0.068808,-0.031230,-0.021306,8,10,True,False,79
425,ZipTrader,MSFT,buy,-0.015773,-0.053888,0.050170,0.022877,0.021983,0.019526,0.052770,0.036668,-0.064007,-0.107736,-0.014615,-0.075149,4,8,True,False,68
426,ZipTrader,META,buy,-0.122385,-0.086747,0.057877,0.042143,-0.002507,-0.007234,0.096438,0.060408,-0.033515,-0.094137,0.059691,-0.039146,3,9,True,False,73
427,"Mark Roussin, CPA",AMZN,buy,-0.030074,-0.029461,0.061511,0.022056,0.003703,0.005329,-0.015262,-0.017371,0.064843,0.060777,0.048592,0.042409,4,8,False,True,71
