query_key,ticker,time_from,time_to,event_count,query_status,article_rows_returned,error_message_truncated
SQ_2023-01-01_2023-12-31,SQ,20230101T0000,20231231T2359,4,not_queried_budget_exhausted,nan,nan
SQ_2024-01-01_2024-12-14,SQ,20240101T0000,20241214T2359,4,not_queried_budget_exhausted,nan,nan
TGT_2024-10-08_2024-10-08,TGT,20241008T0000,20241008T2359,1,not_queried_budget_exhausted,nan,nan
TSLA_2020-02-21_2020-12-31,TSLA,20200221T0000,20201231T2359,307,not_queried_budget_exhausted,nan,nan
TSLA_2021-01-01_2021-12-31,TSLA,20210101T0000,20211231T2359,307,not_queried_budget_exhausted,nan,nan
TSLA_2022-01-01_2022-12-31,TSLA,20220101T0000,20221231T2359,307,not_queried_budget_exhausted,nan,nan
TSLA_2023-01-01_2023-12-31,TSLA,20230101T0000,20231231T2359,307,not_queried_budget_exhausted,nan,nan
TSLA_2024-01-01_2024-12-31,TSLA,20240101T0000,20241231T2359,307,not_queried_budget_exhausted,nan,nan
TSLA_2025-01-01_2025-12-31,TSLA,20250101T0000,20251231T2359,307,not_queried_budget_exhausted,nan,nan
TSLA_2026-01-01_2026-05-10,TSLA,20260101T0000,20260510T2359,307,not_queried_budget_exhausted,nan,nan
UBER_2023-11-20_2023-12-31,UBER,20231120T0000,20231231T2359,50,not_queried_budget_exhausted,nan,nan
UBER_2024-01-01_2024-12-31,UBER,20240101T0000,20241231T2359,50,not_queried_budget_exhausted,nan,nan
UBER_2025-01-01_2025-12-31,UBER,20250101T0000,20251231T2359,50,not_queried_budget_exhausted,nan,nan
UBER_2026-01-01_2026-05-09,UBER,20260101T0000,20260509T2359,50,not_queried_budget_exhausted,nan,nan
