event_id,ticker,creator,recommendation_type,top5_flag,low_lookahead_flag,duplicate_collapsed_flag,sec_clean_flag,actionability_score,interval,start_offset,end_offset,spy_interval_ar,spy_interval_car,right_censored,status,missing_price_reason
1828,NVDA,ZipTrader,buy,True,False,True,False,3,0_5,0,5,-0.087670,-0.090026,False,computed,
1828,NVDA,ZipTrader,buy,True,False,True,False,3,6_20,5,20,0.103954,0.098049,True,computed,
1828,NVDA,ZipTrader,buy,True,False,True,False,3,21_63,20,63,,,True,missing,insufficient_market_window
1828,NVDA,ZipTrader,buy,True,False,True,False,3,64_126,63,126,,,True,missing,insufficient_market_window
1828,NVDA,ZipTrader,buy,True,False,True,False,3,127_252,126,252,,,True,missing,insufficient_market_window
1828,NVDA,ZipTrader,buy,True,False,True,False,3,253_504,252,504,,,True,missing,insufficient_market_window
1828,NVDA,ZipTrader,buy,True,False,True,False,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1829,NVDA,ZipTrader,buy,True,False,False,False,3,0_5,0,5,-0.087670,-0.090026,False,computed,
1829,NVDA,ZipTrader,buy,True,False,False,False,3,6_20,5,20,0.103954,0.098049,True,computed,
1829,NVDA,ZipTrader,buy,True,False,False,False,3,21_63,20,63,,,True,missing,insufficient_market_window
1829,NVDA,ZipTrader,buy,True,False,False,False,3,64_126,63,126,,,True,missing,insufficient_market_window
1829,NVDA,ZipTrader,buy,True,False,False,False,3,127_252,126,252,,,True,missing,insufficient_market_window
1829,NVDA,ZipTrader,buy,True,False,False,False,3,253_504,252,504,,,True,missing,insufficient_market_window
1829,NVDA,ZipTrader,buy,True,False,False,False,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1830,GOOGL,Daniel Pronk,buy,False,False,True,False,3,0_5,0,5,-0.022690,-0.021835,False,computed,
1830,GOOGL,Daniel Pronk,buy,False,False,True,False,3,6_20,5,20,0.033827,0.033827,True,computed,
1830,GOOGL,Daniel Pronk,buy,False,False,True,False,3,21_63,20,63,,,True,missing,insufficient_market_window
1830,GOOGL,Daniel Pronk,buy,False,False,True,False,3,64_126,63,126,,,True,missing,insufficient_market_window
1830,GOOGL,Daniel Pronk,buy,False,False,True,False,3,127_252,126,252,,,True,missing,insufficient_market_window
1830,GOOGL,Daniel Pronk,buy,False,False,True,False,3,253_504,252,504,,,True,missing,insufficient_market_window
1830,GOOGL,Daniel Pronk,buy,False,False,True,False,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1831,TSLA,Financial Education,sell,True,True,True,True,3,0_5,0,5,-0.031420,-0.032203,False,computed,
1831,TSLA,Financial Education,sell,True,True,True,True,3,6_20,5,20,-0.026454,-0.017511,False,computed,
1831,TSLA,Financial Education,sell,True,True,True,True,3,21_63,20,63,0.097998,0.092936,True,computed,
1831,TSLA,Financial Education,sell,True,True,True,True,3,64_126,63,126,,,True,missing,insufficient_market_window
1831,TSLA,Financial Education,sell,True,True,True,True,3,127_252,126,252,,,True,missing,insufficient_market_window
1831,TSLA,Financial Education,sell,True,True,True,True,3,253_504,252,504,,,True,missing,insufficient_market_window
1831,TSLA,Financial Education,sell,True,True,True,True,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1832,DIS,The Swedish Investor,buy,False,True,True,True,3,0_5,0,5,0.002887,0.002855,False,computed,
1832,DIS,The Swedish Investor,buy,False,True,True,True,3,6_20,5,20,0.158166,0.146623,False,computed,
1832,DIS,The Swedish Investor,buy,False,True,True,True,3,21_63,20,63,-0.006214,-0.004351,False,computed,
1832,DIS,The Swedish Investor,buy,False,True,True,True,3,64_126,63,126,-0.151910,-0.148526,False,computed,
1832,DIS,The Swedish Investor,buy,False,True,True,True,3,127_252,126,252,-0.116419,-0.102706,False,computed,
1832,DIS,The Swedish Investor,buy,False,True,True,True,3,253_504,252,504,-0.021824,-0.017964,True,computed,
1832,DIS,The Swedish Investor,buy,False,True,True,True,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1833,DIS,The Swedish Investor,buy,False,True,False,True,3,0_5,0,5,0.002887,0.002855,False,computed,
1833,DIS,The Swedish Investor,buy,False,True,False,True,3,6_20,5,20,0.158166,0.146623,False,computed,
1833,DIS,The Swedish Investor,buy,False,True,False,True,3,21_63,20,63,-0.006214,-0.004351,False,computed,
1833,DIS,The Swedish Investor,buy,False,True,False,True,3,64_126,63,126,-0.151910,-0.148526,False,computed,
1833,DIS,The Swedish Investor,buy,False,True,False,True,3,127_252,126,252,-0.116419,-0.102706,False,computed,
1833,DIS,The Swedish Investor,buy,False,True,False,True,3,253_504,252,504,-0.021824,-0.017964,True,computed,
1833,DIS,The Swedish Investor,buy,False,True,False,True,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1834,AMZN,Meet Kevin,buy,True,False,False,True,3,0_5,0,5,0.055892,0.055095,False,computed,
1834,AMZN,Meet Kevin,buy,True,False,False,True,3,6_20,5,20,-0.031949,-0.030919,False,computed,
1834,AMZN,Meet Kevin,buy,True,False,False,True,3,21_63,20,63,-0.073762,-0.073681,False,computed,
1834,AMZN,Meet Kevin,buy,True,False,False,True,3,64_126,63,126,0.155880,0.132941,True,computed,
1834,AMZN,Meet Kevin,buy,True,False,False,True,3,127_252,126,252,,,True,missing,insufficient_market_window
1834,AMZN,Meet Kevin,buy,True,False,False,True,3,253_504,252,504,,,True,missing,insufficient_market_window
1834,AMZN,Meet Kevin,buy,True,False,False,True,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1835,AMZN,Daniel Pronk,buy,True,False,True,False,3,0_5,0,5,0.036357,0.035332,False,computed,
1835,AMZN,Daniel Pronk,buy,True,False,True,False,3,6_20,5,20,-0.038118,-0.037609,True,computed,
1835,AMZN,Daniel Pronk,buy,True,False,True,False,3,21_63,20,63,,,True,missing,insufficient_market_window
1835,AMZN,Daniel Pronk,buy,True,False,True,False,3,64_126,63,126,,,True,missing,insufficient_market_window
1835,AMZN,Daniel Pronk,buy,True,False,True,False,3,127_252,126,252,,,True,missing,insufficient_market_window
1835,AMZN,Daniel Pronk,buy,True,False,True,False,3,253_504,252,504,,,True,missing,insufficient_market_window
1835,AMZN,Daniel Pronk,buy,True,False,True,False,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1836,NVDA,Learn to Invest - Investors Grow,buy,True,True,True,True,3,0_5,0,5,0.024461,0.023467,False,computed,
