window,ticker,n,mean_abnormal_spy
6M,CRM,2,-0.24703999999999998
6M,DIS,37,-0.08820408108108109
6M,GOOGL,118,0.15628887288135593
6M,META,7,-0.1608862857142857
6M,MSFT,124,0.017187032258064516
6M,NFLX,28,0.10796821428571428
6M,NVDA,204,0.26904027450980394
6M,PLTR,4,-0.371089
6M,PYPL,15,-0.17304946666666668
6M,SHOP,9,0.30683666666666665
6M,SMCI,3,-0.673275
6M,SOFI,5,0.11763140000000001
6M,TSLA,453,0.2766616335540839
6M,UBER,24,-0.18031679166666667
END_OF_SAMPLE,AAPL,201,0.053873567164179105
END_OF_SAMPLE,AMC,54,-1.623938111111111
END_OF_SAMPLE,AMD,211,1.5693703791469196
END_OF_SAMPLE,AMZN,150,0.18698169333333334
END_OF_SAMPLE,COIN,3,-0.46976099999999993
END_OF_SAMPLE,CRM,2,-0.7504295
END_OF_SAMPLE,DIS,37,-0.6287828648648649
END_OF_SAMPLE,GME,1,-0.104473
END_OF_SAMPLE,GOOGL,157,0.9812562101910828
END_OF_SAMPLE,HOOD,1,-0.091341
END_OF_SAMPLE,META,76,-0.12938697368421054
END_OF_SAMPLE,MSFT,159,-0.3688390566037736
END_OF_SAMPLE,NFLX,50,0.13312092
END_OF_SAMPLE,NVDA,322,0.8339939565217392
END_OF_SAMPLE,PLTR,6,-0.326079
END_OF_SAMPLE,PYPL,51,-0.308164
END_OF_SAMPLE,SHOP,11,0.047171454545454544
END_OF_SAMPLE,SMCI,3,-1.190994
END_OF_SAMPLE,SOFI,40,-0.235731475
END_OF_SAMPLE,TSLA,504,0.7248604365079365
END_OF_SAMPLE,UBER,29,-0.2860347586206896
PRE_1M,AAPL,201,-0.0011206467661691545
PRE_1M,AMC,54,-0.15214522222222224
PRE_1M,AMD,211,0.07830023222748815
PRE_1M,AMZN,150,-0.006857886666666667
PRE_1M,COIN,3,-0.191327
PRE_1M,CRM,2,-0.042672
PRE_1M,DIS,37,-0.026517918918918918
PRE_1M,GME,1,0.140481
PRE_1M,GOOGL,157,0.04059941401273885
PRE_1M,HOOD,1,-0.26724
PRE_1M,META,76,-0.02858352631578948
PRE_1M,MSFT,159,-0.009863911949685535
PRE_1M,NFLX,50,-0.04390348
PRE_1M,NVDA,322,0.060623316770186335
PRE_1M,PLTR,6,0.04511366666666666
PRE_1M,PYPL,51,-0.09801705882352942
PRE_1M,SHOP,11,0.0025090909090909105
PRE_1M,SMCI,3,0.503464
PRE_1M,SOFI,40,-0.089020825
PRE_1M,TSLA,504,-0.060362232142857145
PRE_1M,UBER,29,-0.02792748275862069
PRE_1W,AAPL,201,-0.002775407960199006
PRE_1W,AMC,54,-0.21594027777777777
