window,creator,n,mean_abnormal_spy
3M,"Value Investing with Sven Carlin, Ph.D.",11,0.06563372727272726
3M,ZipTrader,87,-0.37177899999999997
3W,Ale's World of Stocks,50,-0.0062076200000000005
3W,Best of Us Investors,18,-0.025656166666666667
3W,Chicken Genius Singapore,63,0.10981466666666667
3W,Chris Sain,15,-0.000676999999999998
3W,Couch Investor,88,-0.025700170454545455
3W,Daniel Pronk,56,-0.005710374999999999
3W,Dividend Bull,1,0.035626
3W,Dividendology,6,-0.009104833333333333
3W,Dumb Money Live,18,0.05762583333333334
3W,Everything Money,81,-0.015717469135802468
3W,Financial Education,159,0.10362779874213837
3W,Graham Stephan,18,-0.0026336666666666644
3W,HyperChange,225,-0.06701908
3W,Investing with Tom,7,0.007836571428571427
3W,Jose Najarro Stocks,138,-0.023604159420289855
3W,Joseph Carlson,132,0.014066363636363636
3W,Kenan Grace,21,0.005501000000000001
3W,Learn to Invest - Investors Grow,18,0.016037944444444445
3W,"Mark Roussin, CPA",57,0.011715947368421053
3W,Meet Kevin,29,-0.004616241379310344
3W,Minority Mindset,3,-0.129997
3W,New Money,84,0.0018058571428571431
3W,"Parkev Tatevosian, CFA",4,-0.036781499999999995
3W,STOCK UP! with LARRY JONES,30,-0.0255634
3W,Sasha Yanshin,140,-0.019554507142857145
3W,Stock Moe,5,0.024963199999999998
3W,The Investor Channel,115,0.01847517391304348
3W,The Plain Bagel,30,-0.034611499999999996
3W,The Swedish Investor,7,0.11231285714285713
3W,Ticker Symbol: YOU,192,0.020589203125
3W,Tom Nash,51,0.08242723529411766
3W,"Value Investing with Sven Carlin, Ph.D.",20,0.0121257
3W,ZipTrader,87,-0.3270783103448276
6M,Ale's World of Stocks,36,0.13164025000000001
6M,Best of Us Investors,4,-0.0008255
6M,Chicken Genius Singapore,63,1.0507457142857142
6M,Chris Sain,15,0.03988726666666666
6M,Couch Investor,3,-0.3264666666666667
6M,Daniel Pronk,46,0.15521891304347826
6M,Dividend Bull,1,0.185438
6M,Dividendology,4,0.01610275
6M,Dumb Money Live,15,0.19428199999999998
6M,Everything Money,39,-0.042143307692307695
6M,Financial Education,90,0.11424373333333333
6M,Graham Stephan,3,0.15631
6M,HyperChange,225,0.08028152
6M,Investing with Tom,7,0.12427257142857143
6M,Jose Najarro Stocks,23,-0.056065956521739124
6M,Joseph Carlson,132,0.039644204545454545
6M,Kenan Grace,3,-0.244911
6M,Learn to Invest - Investors Grow,15,0.0758272
6M,"Mark Roussin, CPA",55,0.10494267272727273
6M,New Money,84,0.050618892857142855
6M,STOCK UP! with LARRY JONES,21,-0.07077528571428572
6M,Sasha Yanshin,138,0.13067497826086957
6M,The Investor Channel,110,0.10776216363636364
6M,The Plain Bagel,30,0.34693120000000005
6M,The Swedish Investor,7,0.11240357142857142
6M,Ticker Symbol: YOU,183,0.18119047540983607
6M,Tom Nash,51,0.2558902941176471
6M,"Value Investing with Sven Carlin, Ph.D.",9,0.15053511111111112
6M,ZipTrader,87,-0.5180998620689655
END_OF_SAMPLE,Ale's World of Stocks,50,0.25869776
END_OF_SAMPLE,Best of Us Investors,20,0.026182999999999994
END_OF_SAMPLE,Bloomberg Television,9,0.044331666666666665
END_OF_SAMPLE,CNBC Television,9,0.056194999999999995
END_OF_SAMPLE,Chicken Genius Singapore,63,1.9442302857142857
END_OF_SAMPLE,Chris Sain,15,0.04999706666666669
END_OF_SAMPLE,Couch Investor,111,-0.019260252252252245
END_OF_SAMPLE,Daniel Pronk,62,0.28554870967741935
END_OF_SAMPLE,Dividend Bull,1,0.38756
END_OF_SAMPLE,Dividendology,7,-0.04116199999999999
END_OF_SAMPLE,Dumb Money Live,18,0.18815283333333332
END_OF_SAMPLE,Everything Money,86,0.01760110465116279
END_OF_SAMPLE,Financial Education,171,0.6444946959064328
END_OF_SAMPLE,Graham Stephan,18,0.006659666666666665
END_OF_SAMPLE,HyperChange,225,0.46976517333333334
END_OF_SAMPLE,Investing with Tom,7,0.7017552857142857
END_OF_SAMPLE,Jose Najarro Stocks,148,0.1904317635135135
END_OF_SAMPLE,Joseph Carlson,132,0.15226788636363636
END_OF_SAMPLE,Kenan Grace,24,0.0157085
END_OF_SAMPLE,Learn to Invest - Investors Grow,18,0.13346772222222222
END_OF_SAMPLE,"Mark Roussin, CPA",57,0.3329813333333333
END_OF_SAMPLE,Meet Kevin,29,0.10702831034482758
