feature_set,target,status,n_train,n_test,accuracy,auc
full_model_ticker_out,bottom_quartile_21d,computed,538,971,0.7641606591143152,0.5198980445591891
market_only,non_top_underperform,computed,1056,453,0.8079470198675497,0.6270515176478043
market_only_time,non_top_underperform,computed,1056,453,0.7858719646799117,0.508731032086181
market_only_creator_out,non_top_underperform,computed,875,634,0.8375394321766562,0.6669154503906825
market_only_ticker_out,non_top_underperform,insufficient,,971,,
analyst_only,non_top_underperform,computed,1625,697,0.8249641319942611,0.49193157519600855
analyst_only_time,non_top_underperform,computed,1625,697,0.7618364418938307,0.5017073945499512
analyst_only_creator_out,non_top_underperform,computed,1552,770,0.8402597402597403,0.4880373455975673
analyst_only_ticker_out,non_top_underperform,insufficient,,1512,,
transcript_only,non_top_underperform,computed,1625,697,0.8249641319942611,0.5409693513898787
transcript_only_time,non_top_underperform,computed,1625,697,0.7618364418938307,0.5309202913348309
transcript_only_creator_out,non_top_underperform,computed,1552,770,0.8415584415584415,0.5341161835111395
transcript_only_ticker_out,non_top_underperform,insufficient,,1512,,
creator_only,non_top_underperform,computed,1625,697,0.8249641319942611,0.561111903064861
creator_only_time,non_top_underperform,computed,1625,697,0.7618364418938307,0.319424591019445
creator_only_creator_out,non_top_underperform,computed,1552,770,0.8402597402597403,0.5328721679797942
creator_only_ticker_out,non_top_underperform,insufficient,,1512,,
market_plus_analyst,non_top_underperform,computed,1056,453,0.8079470198675497,0.6271307268233951
market_plus_analyst_time,non_top_underperform,computed,1056,453,0.7858719646799117,0.5077030001158346
market_plus_analyst_creator_out,non_top_underperform,computed,875,634,0.8375394321766562,0.6679013710747457
market_plus_analyst_ticker_out,non_top_underperform,insufficient,,971,,
market_plus_transcript,non_top_underperform,computed,1056,453,0.7991169977924945,0.6246910842151954
market_plus_transcript_time,non_top_underperform,computed,1056,453,0.7836644591611479,0.5271632109347851
market_plus_transcript_creator_out,non_top_underperform,computed,875,634,0.8359621451104101,0.6594611528822054
market_plus_transcript_ticker_out,non_top_underperform,insufficient,,971,,
full_model,non_top_underperform,computed,1056,453,0.7969094922737306,0.6162790697674418
full_model_time,non_top_underperform,computed,1056,453,0.7836644591611479,0.5229786864357697
full_model_creator_out,non_top_underperform,computed,875,634,0.8359621451104101,0.6603457172342619
full_model_ticker_out,non_top_underperform,insufficient,,971,,
market_only,top5_positive_21d,computed,1056,453,0.673289183222958,0.584151072569603
market_only_time,top5_positive_21d,computed,1056,453,0.7108167770419426,0.5492379137889973
market_only_creator_out,top5_positive_21d,computed,875,634,0.6608832807570978,0.6011282533920429
market_only_ticker_out,top5_positive_21d,insufficient,,971,,
analyst_only,top5_positive_21d,computed,1625,697,0.6743185078909613,0.49626956603243044
analyst_only_time,top5_positive_21d,computed,1625,697,0.6628407460545194,0.5122501611863314
analyst_only_creator_out,top5_positive_21d,computed,1552,770,0.6363636363636364,0.5079081632653061
analyst_only_ticker_out,top5_positive_21d,insufficient,,1512,,
transcript_only,top5_positive_21d,computed,1625,697,0.6743185078909613,0.5510544568375668
transcript_only_time,top5_positive_21d,computed,1625,697,0.6628407460545194,0.5281661600810537
transcript_only_creator_out,top5_positive_21d,computed,1552,770,0.6363636363636364,0.5245590379008745
transcript_only_ticker_out,top5_positive_21d,insufficient,,1512,,
creator_only,top5_positive_21d,computed,1625,697,0.6743185078909613,0.5697113131502485
creator_only_time,top5_positive_21d,computed,1625,697,0.6628407460545194,0.6274016763378466
creator_only_creator_out,top5_positive_21d,computed,1552,770,0.6363636363636364,0.5550801749271137
creator_only_ticker_out,top5_positive_21d,insufficient,,1512,,
