cluster,group_left_out,horizon,n_full,mean_full,mean_leave_one,influence
creator,Dumb Money Live,5D,2322,0.0006350032743213214,0.0007887817041934325,-0.00015377842987211114
creator,Everything Money,5D,2322,0.0006350032743213214,0.00045748701008524814,0.00017751626423607325
creator,Financial Education,5D,2322,0.0006350032743213214,-0.00032877592802822074,0.0009637792023495422
creator,Graham Stephan,5D,2322,0.0006350032743213214,0.0007030197320193026,-6.801645769798125e-05
creator,HyperChange,5D,2322,0.0006350032743213214,0.0009299012679689601,-0.0002948979936476387
creator,Investing with Tom,5D,2322,0.0006350032743213214,0.0006716840619542889,-3.668078763296751e-05
creator,Jose Najarro Stocks,5D,2322,0.0006350032743213214,0.0008881388030823747,-0.0002531355287610533
creator,Joseph Carlson,5D,2322,0.0006350032743213214,0.0007328785416168548,-9.787526729553345e-05
creator,Kenan Grace,5D,2322,0.0006350032743213214,0.0005710015954075501,6.400167891377128e-05
creator,Learn to Invest - Investors Grow,5D,2322,0.0006350032743213214,4.239645636739774e-05,0.0005926068179539236
creator,"Mark Roussin, CPA",5D,2322,0.0006350032743213214,0.0001425483717836501,0.0004924549025376713
creator,Meet Kevin,5D,2322,0.0006350032743213214,0.0006096415303818471,2.5361743939474263e-05
creator,Minority Mindset,5D,2322,0.0006350032743213214,0.000695091224406702,-6.0087950085380604e-05
creator,New Money,5D,2322,0.0006350032743213214,0.0005615878065910916,7.341546773022983e-05
creator,"Parkev Tatevosian, CFA",5D,2322,0.0006350032743213214,0.0012672167402465418,-0.0006322134659252205
creator,STOCK UP! with LARRY JONES,5D,2322,0.0006350032743213214,0.0007008298352542618,-6.582656093294045e-05
creator,Sasha Yanshin,5D,2322,0.0006350032743213214,0.0007984320269593958,-0.00016342875263807444
creator,Stock Moe,5D,2322,0.0006350032743213214,0.0006181980765109849,1.6805197810336524e-05
creator,The Investor Channel,5D,2322,0.0006350032743213214,-0.0010033633207809727,0.001638366595102294
creator,The Plain Bagel,5D,2322,0.0006350032743213214,0.0005810288522528914,5.397442206842994e-05
creator,The Swedish Investor,5D,2322,0.0006350032743213214,0.000641103482821155,-6.100208499833595e-06
creator,Ticker Symbol: YOU,5D,2322,0.0006350032743213214,0.0007043824112391527,-6.93791369178313e-05
creator,Tom Nash,5D,2322,0.0006350032743213214,0.0004479187915227884,0.000187084482798533
creator,"Value Investing with Sven Carlin, Ph.D.",5D,2322,0.0006350032743213214,0.0005720879985472905,6.291527577403087e-05
creator,ZipTrader,5D,2322,0.0006350032743213214,0.0019451080831063526,-0.0013101048087850312
creator,Ale's World of Stocks,21D,2322,0.0031728652593852537,0.003397564536965573,-0.00022469927758031949
creator,Best of Us Investors,21D,2322,0.0031728652593852537,0.003087242523998572,8.562273538668171e-05
creator,Bloomberg Television,21D,2322,0.0031728652593852537,0.003119619576739514,5.324568264573979e-05
creator,CNBC Television,21D,2322,0.0031728652593852537,0.003104271644760061,6.85936146251928e-05
creator,Chicken Genius Singapore,21D,2322,0.0031728652593852537,0.002086704438951446,0.0010861608204338078
creator,Chris Sain,21D,2322,0.0031728652593852537,0.0031736867843775163,-8.215249922625782e-07
creator,Couch Investor,21D,2322,0.0031728652593852537,0.006694072942937057,-0.0035212076835518034
creator,Daniel Pronk,21D,2322,0.0031728652593852537,0.0027443120291810418,0.00042855323020421195
creator,Dividend Bull,21D,2322,0.0031728652593852537,0.003019387574674957,0.00015347768471029666
creator,Dividendology,21D,2322,0.0031728652593852537,0.003220524944658674,-4.765968527342028e-05
creator,Dumb Money Live,21D,2322,0.0031728652593852537,0.003124878376510523,4.798688287473065e-05
creator,Everything Money,21D,2322,0.0031728652593852537,0.0033747803546532633,-0.00020191509526800962
creator,Financial Education,21D,2322,0.0031728652593852537,0.00048737564337128053,0.002685489616013973
creator,Graham Stephan,21D,2322,0.0031728652593852537,0.0031316573293720235,4.120793001323019e-05
