as_of,spy_prior_21d_return,spy_prior_63d_return,spy_drawdown_from_63d_high,vix_level,vix_percentile_1y,vix_change_5d,vix_change_21d,sentiment_regime,event_id,ticker,top5_flag,high_confidence,vix_tercile,spy_trend_regime
2024-04-24,-0.02762767371883934,0.04448037779547165,-0.033946957125127075,15.97,0.7222222222222222,-2.24,2.780000000000001,neutral,505,TSLA,True,True,vix_low_tercile,spy_downtrend_21d
2025-11-25,-0.014914441898029707,0.046798761536819944,-0.017995639569279076,18.56,0.6349206349206349,-6.130000000000003,2.7699999999999996,neutral,506,GOOGL,False,True,vix_mid_tercile,spy_downtrend_21d
2025-11-25,-0.014914441898029707,0.046798761536819944,-0.017995639569279076,18.56,0.6349206349206349,-6.130000000000003,2.7699999999999996,neutral,507,GOOGL,False,True,vix_mid_tercile,spy_downtrend_21d
2025-11-25,-0.014914441898029707,0.046798761536819944,-0.017995639569279076,18.56,0.6349206349206349,-6.130000000000003,2.7699999999999996,neutral,508,NVDA,True,True,vix_mid_tercile,spy_downtrend_21d
2025-11-25,-0.014914441898029707,0.046798761536819944,-0.017995639569279076,18.56,0.6349206349206349,-6.130000000000003,2.7699999999999996,neutral,509,AMD,True,True,vix_mid_tercile,spy_downtrend_21d
2025-11-25,-0.014914441898029707,0.046798761536819944,-0.017995639569279076,18.56,0.6349206349206349,-6.130000000000003,2.7699999999999996,neutral,510,AMD,True,True,vix_mid_tercile,spy_downtrend_21d
2025-11-25,-0.014914441898029707,0.046798761536819944,-0.017995639569279076,18.56,0.6349206349206349,-6.130000000000003,2.7699999999999996,neutral,511,PYPL,False,True,vix_mid_tercile,spy_downtrend_21d
2025-11-25,-0.014914441898029707,0.046798761536819944,-0.017995639569279076,18.56,0.6349206349206349,-6.130000000000003,2.7699999999999996,neutral,512,MSFT,False,True,vix_mid_tercile,spy_downtrend_21d
2025-11-25,-0.014914441898029707,0.046798761536819944,-0.017995639569279076,18.56,0.6349206349206349,-6.130000000000003,2.7699999999999996,neutral,513,META,False,True,vix_mid_tercile,spy_downtrend_21d
2025-11-25,-0.014914441898029707,0.046798761536819944,-0.017995639569279076,18.56,0.6349206349206349,-6.130000000000003,2.7699999999999996,neutral,514,META,False,True,vix_mid_tercile,spy_downtrend_21d
2025-06-18,0.004354078287477581,0.05661352582898016,-0.010451413280325728,20.14,0.7063492063492064,2.879999999999999,2.0500000000000007,neutral,515,MSFT,False,True,vix_high_tercile,spy_flat_21d
2024-11-06,0.031177310779447964,0.1172201161974491,0.0,16.27,0.7341269841269841,-4.080000000000002,-5.150000000000002,risk_on,516,TSLA,True,True,vix_low_tercile,spy_uptrend_21d
2025-11-18,-0.016713867239291358,0.03729769669890404,-0.039730105144156314,24.69,0.9047619047619048,7.41,6.460000000000001,neutral,517,GOOGL,False,True,vix_high_tercile,spy_downtrend_21d
2025-11-18,-0.016713867239291358,0.03729769669890404,-0.039730105144156314,24.69,0.9047619047619048,7.41,6.460000000000001,neutral,518,PYPL,False,True,vix_high_tercile,spy_downtrend_21d
2025-11-18,-0.016713867239291358,0.03729769669890404,-0.039730105144156314,24.69,0.9047619047619048,7.41,6.460000000000001,neutral,519,PYPL,False,True,vix_high_tercile,spy_downtrend_21d
2025-11-18,-0.016713867239291358,0.03729769669890404,-0.039730105144156314,24.69,0.9047619047619048,7.41,6.460000000000001,neutral,520,PYPL,False,False,vix_high_tercile,spy_downtrend_21d
2025-11-18,-0.016713867239291358,0.03729769669890404,-0.039730105144156314,24.69,0.9047619047619048,7.41,6.460000000000001,neutral,521,META,False,True,vix_high_tercile,spy_downtrend_21d
2024-04-30,-0.03864695197807422,0.025768855088828646,-0.040503089968154105,15.65,0.6984126984126984,-0.03999999999999915,2.0,risk_off,522,PYPL,False,True,vix_low_tercile,spy_downtrend_21d
