event_id,ticker,company_name,event_date,filing_count_pm1,filing_count_pm3,filing_count_pm5,eight_k_pm5_flag,ten_q_or_k_pm5_flag,offering_registration_pm5_flag,ownership_or_insider_pm5_flag,earnings_proxy_flag,sec_material_event_confounded_flag,sec_routine_filing_flag,sec_unknown_flag,sec_clean_expanded_flag,reason_codes
745,AAPL,Apple,2025-01-25,0,0,2,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
746,MSFT,Microsoft,2025-01-25,0,1,3,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
747,TSLA,Tesla,2025-01-25,0,0,2,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
748,PYPL,PayPal,2024-02-08,2,2,4,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
749,AMZN,Amazon,2024-02-08,5,6,11,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
750,NVDA,Nvidia,2025-12-28,0,0,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
751,AMD,nan,2026-01-07,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
752,NVDA,Nvidia,2024-07-26,3,8,12,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
753,AMZN,Amazon,2024-02-05,1,5,10,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
754,AMZN,Amazon,2024-02-05,1,5,10,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
755,NFLX,Netflix,2025-12-03,12,17,24,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
756,AMZN,Amazon,2024-02-17,2,12,24,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
757,NVDA,Nvidia,2024-07-20,2,11,19,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
758,NVDA,Nvidia,2024-07-20,2,11,19,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
759,MSFT,Microsoft,2024-07-20,0,0,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
760,MSFT,Microsoft,2024-07-20,0,0,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
761,MSFT,Microsoft,2024-07-20,0,0,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
762,TSLA,Tesla,2024-07-20,0,1,3,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
763,TSLA,Tesla,2024-07-20,0,1,3,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
764,TSLA,Tesla,2024-07-20,0,1,3,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
765,MSFT,Microsoft,2022-10-15,0,1,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
766,AAPL,Apple,2025-08-18,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
767,AAPL,Apple,2025-08-18,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
768,NVDA,Nvidia,2024-05-24,3,4,12,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
769,MSFT,Microsoft,2024-05-24,2,2,2,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
770,NFLX,Netflix,2024-05-24,0,2,2,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
771,AAPL,Apple,2024-08-23,1,2,3,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
772,AAPL,Apple,2024-08-23,1,2,3,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
773,TSLA,Tesla,2024-08-23,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
774,GOOGL,Alphabet,2024-08-23,0,3,5,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
775,PYPL,PayPal,2025-11-21,1,2,4,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
776,GOOGL,Alphabet,2025-12-01,4,7,9,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
777,GOOGL,Alphabet,2026-04-22,0,3,5,False,False,False,True,False,True,False,False,False,ownership_insider_window;material_filing_flag
778,AAPL,Apple,2024-02-15,1,3,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
779,MSFT,Microsoft,2024-02-15,0,2,2,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
780,NVDA,Nvidia,2025-12-09,3,10,11,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
781,PYPL,PayPal,2025-12-09,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
