ticker,company_name,horizon,event_count,creator_count,top5_flag,mean_pre21_spy_bhar,right_censored,n,mean,median,t_stat,p_value,win_rate
TSLA,Tesla,252D,307,29,True,-0.029196,66,307,0.277535,0.190197,9.524,0.000000,0.6678
TSLA,Tesla,504D,307,29,True,-0.029196,141,307,0.449334,0.395283,12.719,0.000000,0.7427
TSLA,Tesla,5D,307,29,True,-0.029196,1,307,0.001034,-0.012627,0.192,0.847809,0.4463
TSLA,Tesla,63D,307,29,True,-0.029196,17,307,0.073862,0.019573,4.118,0.000038,0.5147
TSLA,Tesla,end_of_sample,307,29,True,-0.029196,0,307,0.547998,0.395426,10.718,0.000000,0.7687
UBER,Uber,126D,50,12,False,-0.021136,26,50,-0.093679,-0.126221,-3.655,0.000257,0.2000
UBER,Uber,21D,50,12,False,-0.021136,7,50,-0.024044,-0.028441,-2.397,0.016538,0.2200
UBER,Uber,252D,50,12,False,-0.021136,39,50,-0.163683,-0.162574,-7.029,0.000000,0.1200
UBER,Uber,504D,50,12,False,-0.021136,49,50,-0.204722,-0.208108,-10.668,0.000000,0.0200
UBER,Uber,5D,50,12,False,-0.021136,3,50,-0.014350,-0.026560,-1.978,0.047955,0.3200
UBER,Uber,63D,50,12,False,-0.021136,13,50,-0.043978,-0.058653,-2.272,0.023101,0.2000
UBER,Uber,end_of_sample,50,12,False,-0.021136,0,50,-0.211520,-0.213134,-11.265,0.000000,0.0000
