relative_path,exists,git_tracked,git_ignored,size_bytes,size_mb,sha256,category,safe_to_commit,reason,required_for_reproduction,replacement_or_rebuild_command
data/raw/x/counts/20260514T000727Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T000859Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T025713Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T025927Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T030047Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T155754Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T161848Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T194506Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T200827Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T201917Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T203100Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T203454Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T204725Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T211232Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T214619Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T222101Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T223216Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T223306Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T232835Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T232922Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
data/raw/x/counts/20260514T233031Z_counts_error.json,True,False,True,276,0.0,be9564b52d4e07389321f192c3331d3e7587d5ab027a914c214eba00b81e5311,raw_private,False,private or bulky; gitignored by policy,False,
