event_id,ticker,horizon_days,treated_event_date,control_trading_date,treated_pre21_spy_bhar,control_pre21_spy_bhar,treated_spy_bhar,control_spy_bhar,treated_minus_control,match_rule
70,MSFT,21,2025-08-21,2021-10-01,-0.003696,-0.006389,-0.031893,0.079880,-0.111774,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
71,DIS,21,2026-02-12,2022-05-17,-0.075804,-0.082023,-0.018369,-0.030127,0.011759,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
72,UBER,21,2025-07-15,2025-01-10,0.043462,0.040272,-0.051533,0.123682,-0.175215,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
73,NFLX,21,2023-04-18,2024-06-20,0.037402,0.027668,0.016297,-0.063691,0.079987,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
74,NFLX,21,2023-04-18,2021-04-08,0.037402,0.036456,0.016297,-0.124784,0.141080,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
75,GOOGL,21,2023-04-18,2022-01-04,-0.033763,-0.040031,0.153901,0.055741,0.098160,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
76,NVDA,21,2024-02-22,2021-07-02,0.265050,0.168454,0.170403,-0.049933,0.220335,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
77,MSFT,21,2026-03-06,2020-01-03,0.009752,0.015689,-0.072772,0.114918,-0.187690,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
78,AMZN,21,2026-03-06,2020-11-18,-0.064771,-0.072243,0.019521,-0.009650,0.029171,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
79,DIS,21,2024-08-09,2021-10-26,-0.065345,-0.064985,-0.004241,-0.149885,0.145644,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
80,PYPL,21,2025-09-17,2025-03-18,-0.037773,-0.036741,-0.042446,-0.065226,0.022780,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
81,META,21,2025-09-17,2020-06-22,-0.013804,-0.024174,-0.086427,-0.049565,-0.036861,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
82,DIS,21,2023-09-15,2022-09-14,-0.020959,-0.014754,0.018051,-0.072233,0.090284,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
83,AAPL,21,2023-09-15,2022-09-14,-0.020876,-0.023353,0.037731,-0.010580,0.048311,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
84,GOOGL,21,2025-07-25,2020-10-22,0.082445,0.071874,0.070824,0.049631,0.021193,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
85,NVDA,21,2023-07-24,2021-05-25,-0.003640,0.009459,0.059008,0.207919,-0.148911,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
86,NVDA,21,2023-07-24,2022-03-03,-0.003640,0.000723,0.059008,0.083695,-0.024687,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
87,GOOGL,21,2025-08-20,2020-01-07,0.026997,0.011948,0.236102,0.023101,0.213001,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
88,META,21,2026-02-24,2024-11-12,-0.026813,-0.031014,-0.026863,0.066158,-0.093020,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
89,GOOGL,21,2023-03-17,2020-11-27,0.102632,0.069532,-0.033763,-0.042148,0.008385,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
90,GOOGL,21,2023-03-17,2022-03-22,0.102632,0.033993,-0.033763,-0.081981,0.048218,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
91,AAPL,21,2023-03-17,2019-10-16,0.052230,0.065734,0.011896,0.086620,-0.074724,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
92,AAPL,21,2023-03-17,2021-06-28,0.052230,0.052985,0.011896,0.049104,-0.037208,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
93,NFLX,21,2023-03-17,2020-06-15,-0.105902,-0.114704,0.037402,0.176940,-0.139538,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
94,NVDA,21,2023-03-17,2021-06-24,0.184620,0.207919,0.013387,-0.032842,0.046228,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
95,MSFT,21,2023-07-21,2022-03-11,-0.009028,-0.016306,-0.033298,-0.031977,-0.001321,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
96,NVDA,21,2023-07-21,2021-01-22,-0.010273,-0.012310,0.088384,0.019256,0.069129,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
97,NVDA,21,2023-11-23,2020-04-09,0.053133,0.046906,-0.017382,0.175524,-0.192906,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
98,AAPL,21,2023-11-23,2019-12-12,0.021341,0.009954,-0.032718,0.114227,-0.146946,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
99,MSFT,21,2023-11-23,2020-01-08,0.019746,0.019467,-0.056271,0.124780,-0.181051,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
100,NVDA,21,2025-08-13,2022-06-13,0.027229,0.011758,-0.040120,-0.029688,-0.010431,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
101,NVDA,21,2025-08-13,2022-02-18,0.027229,0.006990,-0.040120,0.083504,-0.123623,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
102,NVDA,21,2023-02-25,2020-07-08,0.204143,0.177665,0.125532,0.052179,0.073353,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
103,NFLX,21,2023-02-25,2020-06-09,-0.097327,-0.100387,0.003076,0.185488,-0.182412,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
104,MSFT,21,2023-02-25,2022-08-18,0.028580,0.024831,0.101775,-0.069112,0.170888,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
105,AMZN,21,2023-02-25,2021-03-09,-0.037685,-0.084910,0.038675,0.018600,0.020075,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
106,GOOGL,21,2023-02-25,2020-06-19,-0.061101,-0.033026,0.125739,0.039111,0.086628,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
107,TSLA,21,2023-01-26,2022-06-22,0.244384,0.101781,0.312845,0.097860,0.214985,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
108,TSLA,21,2023-01-26,2021-11-12,0.244384,0.206878,0.312845,-0.064120,0.376965,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
109,NVDA,21,2025-08-07,2019-12-24,0.096712,0.094219,-0.095151,-0.000445,-0.094706,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
110,TSLA,21,2024-01-25,2020-03-18,-0.307187,-0.291931,0.055024,0.885710,-0.830686,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
111,AMZN,21,2026-02-18,2022-05-02,-0.135804,-0.153907,0.057985,-0.010821,0.068805,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
112,META,21,2026-02-18,2024-09-19,0.044797,0.040488,-0.017370,0.004091,-0.021461,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
113,MSFT,21,2024-08-02,2022-09-15,-0.079806,-0.067806,-0.031860,0.010970,-0.042829,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
114,NVDA,21,2025-07-16,2021-07-07,0.158400,0.124073,0.028937,-0.003782,0.032718,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
115,NVDA,21,2025-07-16,2021-06-03,0.158400,0.174879,0.028937,0.168454,-0.139518,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
116,AMD,21,2025-07-16,2021-08-16,0.329414,0.215132,0.097163,-0.019528,0.116690,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
117,NVDA,21,2024-02-08,2022-12-01,0.258945,0.206102,0.205710,-0.103671,0.309381,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
118,GOOGL,21,2024-02-08,2020-06-24,-0.016384,-0.013255,-0.082481,-0.002509,-0.079972,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
119,AMD,21,2023-01-26,2024-10-02,0.107873,0.133234,0.065375,-0.097936,0.163310,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
120,TSLA,21,2023-07-05,2021-10-27,0.280795,0.288145,-0.094874,0.031372,-0.126246,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
121,GOOGL,21,2023-07-05,2022-12-30,-0.062812,-0.068721,0.042145,0.064091,-0.021946,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
122,MSFT,21,2023-07-07,2020-09-18,-0.017775,-0.028809,-0.048812,0.034658,-0.083470,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
123,AAPL,21,2023-07-07,2022-04-13,0.035619,0.055267,-0.089768,-0.041593,-0.048175,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
124,AMZN,21,2023-07-07,2021-01-05,-0.003346,-0.006997,0.068127,-0.005067,0.073194,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
125,GOOGL,21,2023-07-07,2023-01-04,-0.089887,-0.070497,0.073126,0.115101,-0.041975,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
126,GOOGL,21,2025-08-19,2021-06-11,0.042779,0.057891,0.216365,0.018049,0.198315,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
127,NVDA,21,2025-08-28,2021-01-26,-0.017771,-0.011382,-0.016199,-0.005705,-0.010495,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
128,GOOGL,21,2025-08-28,2021-10-27,0.054093,0.029854,0.128588,-0.038673,0.167261,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
129,GOOGL,21,2025-09-04,2021-09-03,0.159622,0.029333,0.023314,-0.012648,0.035963,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
130,AAPL,21,2023-03-31,2020-12-22,0.097111,0.085990,0.018532,0.037012,-0.018480,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
131,AMZN,21,2023-02-02,2022-08-03,0.221233,0.144190,-0.140157,-0.040355,-0.099801,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
132,PYPL,21,2025-09-03,2025-06-04,0.004052,0.004621,-0.052659,0.001818,-0.054476,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
133,AAPL,21,2025-09-03,2020-06-29,0.154123,0.133025,0.035785,-0.017053,0.052839,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
134,TSLA,21,2023-11-06,2020-08-14,-0.172687,0.049971,0.047898,0.352437,-0.304539,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
135,NVDA,21,2025-07-16,2020-02-14,0.158400,0.151399,0.028937,0.001383,0.027553,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
136,AMD,21,2026-02-22,2021-05-10,-0.215596,-0.097477,0.084800,0.043367,0.041433,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
137,AMD,21,2026-02-22,2022-01-27,-0.215596,-0.234382,0.084800,0.189645,-0.104845,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
138,PYPL,21,2025-08-19,2020-09-04,-0.094677,-0.084669,-0.042764,0.017450,-0.060214,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
139,PYPL,21,2025-08-19,2020-11-16,-0.094677,-0.105186,-0.042764,0.178372,-0.221136,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
140,SOFI,21,2025-08-19,2025-02-18,0.057584,-0.001035,0.200516,-0.171068,0.371584,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
141,GOOGL,21,2025-08-19,2021-09-02,0.042779,0.028029,0.216365,-0.016049,0.232413,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
142,AAPL,21,2023-09-22,2021-11-04,-0.009913,-0.010504,0.012900,0.114114,-0.101214,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
143,AMZN,21,2023-09-22,2022-09-29,-0.022189,-0.023005,0.003314,-0.171517,0.174831,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
144,GOOGL,21,2023-09-22,2020-06-02,0.009020,0.005452,0.071125,-0.012570,0.083695,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
145,TSLA,21,2023-09-22,2020-10-05,0.058896,0.058259,-0.110803,0.006797,-0.117600,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
146,TSLA,21,2023-09-22,2022-04-20,0.058896,0.060116,-0.110803,-0.149789,0.038987,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
147,NVDA,21,2023-02-17,2021-12-03,0.227842,0.178416,0.241912,-0.102629,0.344540,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
148,AMD,21,2026-02-25,2021-12-30,-0.161563,-0.132367,0.033170,-0.157755,0.190924,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
149,NVDA,21,2026-03-12,2022-06-23,0.009064,0.003777,0.000789,0.002929,-0.002140,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
150,AMD,21,2025-08-14,2020-12-07,0.097163,0.079553,-0.134113,-0.019912,-0.114201,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
151,NVDA,21,2025-08-22,2020-06-08,0.007297,0.032303,-0.028060,0.177665,-0.205725,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
152,MSFT,21,2024-08-12,2022-01-05,-0.055339,-0.054564,0.002109,0.009019,-0.006910,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
153,MSFT,21,2024-08-12,2020-06-16,-0.055339,-0.033417,0.002109,0.023939,-0.021830,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
154,MSFT,21,2024-08-12,2022-09-06,-0.055339,-0.048014,0.002109,0.015027,-0.012918,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
155,MSFT,21,2024-08-12,2020-07-30,-0.055339,-0.048674,0.002109,0.043201,-0.041092,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
156,MSFT,21,2024-08-12,2022-04-21,-0.055339,-0.050820,0.002109,0.012049,-0.009939,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
157,MSFT,21,2024-08-12,2022-01-25,-0.055339,-0.061264,0.002109,0.037457,-0.035348,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
