strategy,holding_trading_days,weighting,model,n_days,alpha_daily,alpha_ann_approx,alpha_hac_se,alpha_t_hac,alpha_p_value,r_squared
duplicate_collapsed_direction,63,ew,FF5_MOM,1566,0.001112,0.323371,0.000506,2.1976,0.027981,0.143008
duplicate_collapsed_direction,63,capped,CAPM,1566,0.001058,0.305499,0.000521,2.0326,0.042091,0.103323
duplicate_collapsed_direction,63,capped,FF3,1566,0.001128,0.328456,0.000508,2.2178,0.026570,0.136246
duplicate_collapsed_direction,63,capped,FF5,1566,0.001139,0.332089,0.000510,2.2330,0.025549,0.139163
duplicate_collapsed_direction,63,capped,Carhart,1566,0.001109,0.322236,0.000505,2.1966,0.028048,0.138509
duplicate_collapsed_direction,63,capped,FF5_MOM,1566,0.001112,0.323371,0.000506,2.1976,0.027981,0.143008
low_lookahead_direction,5,ew,CAPM,1566,0.000741,0.205323,0.000407,1.8217,0.068497,0.061771
low_lookahead_direction,5,ew,FF3,1566,0.000766,0.212843,0.000406,1.8875,0.059088,0.072264
low_lookahead_direction,5,ew,FF5,1566,0.000772,0.214747,0.000410,1.8816,0.059893,0.073609
low_lookahead_direction,5,ew,Carhart,1566,0.000765,0.212375,0.000406,1.8846,0.059479,0.072292
low_lookahead_direction,5,ew,FF5_MOM,1566,0.000773,0.215112,0.000410,1.8848,0.059451,0.073623
low_lookahead_direction,5,capped,CAPM,1566,0.000741,0.205323,0.000407,1.8217,0.068497,0.061771
low_lookahead_direction,5,capped,FF3,1566,0.000766,0.212843,0.000406,1.8875,0.059088,0.072264
low_lookahead_direction,5,capped,FF5,1566,0.000772,0.214747,0.000410,1.8816,0.059893,0.073609
low_lookahead_direction,5,capped,Carhart,1566,0.000765,0.212375,0.000406,1.8846,0.059479,0.072292
low_lookahead_direction,5,capped,FF5_MOM,1566,0.000773,0.215112,0.000410,1.8848,0.059451,0.073623
low_lookahead_direction,21,ew,CAPM,1566,0.000281,0.073500,0.000400,0.7043,0.481246,0.095241
low_lookahead_direction,21,ew,FF3,1566,0.000318,0.083437,0.000398,0.7998,0.423804,0.112843
low_lookahead_direction,21,ew,FF5,1566,0.000318,0.083497,0.000399,0.7973,0.425256,0.112970
low_lookahead_direction,21,ew,Carhart,1566,0.000310,0.081107,0.000399,0.7766,0.437413,0.113628
low_lookahead_direction,21,ew,FF5_MOM,1566,0.000310,0.081176,0.000400,0.7745,0.438618,0.113646
low_lookahead_direction,21,capped,CAPM,1566,0.000281,0.073500,0.000400,0.7043,0.481246,0.095241
low_lookahead_direction,21,capped,FF3,1566,0.000318,0.083437,0.000398,0.7998,0.423804,0.112843
low_lookahead_direction,21,capped,FF5,1566,0.000318,0.083497,0.000399,0.7973,0.425256,0.112970
low_lookahead_direction,21,capped,Carhart,1566,0.000310,0.081107,0.000399,0.7766,0.437413,0.113628
low_lookahead_direction,21,capped,FF5_MOM,1566,0.000310,0.081176,0.000400,0.7745,0.438618,0.113646
low_lookahead_direction,63,ew,CAPM,1566,0.001401,0.423183,0.000594,2.3587,0.018337,0.008006
low_lookahead_direction,63,ew,FF3,1566,0.001467,0.446794,0.000578,2.5360,0.011214,0.064259
low_lookahead_direction,63,ew,FF5,1566,0.001463,0.445550,0.000579,2.5293,0.011430,0.064813
low_lookahead_direction,63,ew,Carhart,1566,0.001492,0.456073,0.000581,2.5692,0.010192,0.069040
low_lookahead_direction,63,ew,FF5_MOM,1566,0.001494,0.456701,0.000580,2.5755,0.010009,0.070809
low_lookahead_direction,63,capped,CAPM,1566,0.001401,0.423183,0.000594,2.3587,0.018337,0.008006
low_lookahead_direction,63,capped,FF3,1566,0.001467,0.446794,0.000578,2.5360,0.011214,0.064259
low_lookahead_direction,63,capped,FF5,1566,0.001463,0.445550,0.000579,2.5293,0.011430,0.064813
low_lookahead_direction,63,capped,Carhart,1566,0.001492,0.456073,0.000581,2.5692,0.010192,0.069040
low_lookahead_direction,63,capped,FF5_MOM,1566,0.001494,0.456701,0.000580,2.5755,0.010009,0.070809
