event_id,ticker,creator,recommendation_type,event_date,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_cluster_id,status
16,GOOGL,"Mark Roussin, CPA",buy,2024-01-08,5D,Carhart,0.001388,False,False,16,computed
17,TSLA,"Mark Roussin, CPA",buy,2024-01-08,1D,SPY_adjusted,-0.021315,True,False,17,computed
17,TSLA,"Mark Roussin, CPA",buy,2024-01-08,1D,FF3,-0.021563,True,False,17,computed
17,TSLA,"Mark Roussin, CPA",buy,2024-01-08,1D,FF5,-0.020327,True,False,17,computed
17,TSLA,"Mark Roussin, CPA",buy,2024-01-08,1D,Carhart,-0.019889,True,False,17,computed
17,TSLA,"Mark Roussin, CPA",buy,2024-01-08,5D,SPY_adjusted,-0.086118,True,False,17,computed
17,TSLA,"Mark Roussin, CPA",buy,2024-01-08,5D,FF3,-0.088356,True,False,17,computed
17,TSLA,"Mark Roussin, CPA",buy,2024-01-08,5D,FF5,-0.085032,True,False,17,computed
17,TSLA,"Mark Roussin, CPA",buy,2024-01-08,5D,Carhart,-0.068361,True,False,17,computed
18,TSLA,"Mark Roussin, CPA",buy,2023-08-18,1D,SPY_adjusted,0.066769,True,True,18,computed
18,TSLA,"Mark Roussin, CPA",buy,2023-08-18,1D,FF3,0.061875,True,True,18,computed
18,TSLA,"Mark Roussin, CPA",buy,2023-08-18,1D,FF5,0.048796,True,True,18,computed
18,TSLA,"Mark Roussin, CPA",buy,2023-08-18,1D,Carhart,0.064501,True,True,18,computed
18,TSLA,"Mark Roussin, CPA",buy,2023-08-18,5D,SPY_adjusted,0.099248,True,True,18,computed
18,TSLA,"Mark Roussin, CPA",buy,2023-08-18,5D,FF3,0.090303,True,True,18,computed
18,TSLA,"Mark Roussin, CPA",buy,2023-08-18,5D,FF5,0.078622,True,True,18,computed
18,TSLA,"Mark Roussin, CPA",buy,2023-08-18,5D,Carhart,0.096412,True,True,18,computed
19,AAPL,"Mark Roussin, CPA",buy,2023-08-18,1D,SPY_adjusted,0.001231,True,True,19,computed
19,AAPL,"Mark Roussin, CPA",buy,2023-08-18,1D,FF3,-0.003905,True,True,19,computed
19,AAPL,"Mark Roussin, CPA",buy,2023-08-18,1D,FF5,-0.002632,True,True,19,computed
19,AAPL,"Mark Roussin, CPA",buy,2023-08-18,1D,Carhart,-0.003837,True,True,19,computed
19,AAPL,"Mark Roussin, CPA",buy,2023-08-18,5D,SPY_adjusted,0.015662,True,True,19,computed
19,AAPL,"Mark Roussin, CPA",buy,2023-08-18,5D,FF3,0.006104,True,True,19,computed
19,AAPL,"Mark Roussin, CPA",buy,2023-08-18,5D,FF5,0.008808,True,True,19,computed
19,AAPL,"Mark Roussin, CPA",buy,2023-08-18,5D,Carhart,0.006260,True,True,19,computed
20,AMZN,The Investor Channel,buy,2023-03-03,1D,SPY_adjusted,-0.012811,True,False,20,computed
20,AMZN,The Investor Channel,buy,2023-03-03,1D,FF3,-0.012351,True,False,20,computed
20,AMZN,The Investor Channel,buy,2023-03-03,1D,FF5,-0.019372,True,False,20,computed
20,AMZN,The Investor Channel,buy,2023-03-03,1D,Carhart,-0.013200,True,False,20,computed
20,AMZN,The Investor Channel,buy,2023-03-03,5D,SPY_adjusted,0.001285,True,False,20,computed
20,AMZN,The Investor Channel,buy,2023-03-03,5D,FF3,0.008206,True,False,20,computed
20,AMZN,The Investor Channel,buy,2023-03-03,5D,FF5,0.010869,True,False,20,computed
20,AMZN,The Investor Channel,buy,2023-03-03,5D,Carhart,0.012688,True,False,20,computed
21,NVDA,Jose Najarro Stocks,buy,2025-08-27,1D,SPY_adjusted,-0.011416,True,False,21,computed
21,NVDA,Jose Najarro Stocks,buy,2025-08-27,1D,FF3,-0.023754,True,False,21,computed
21,NVDA,Jose Najarro Stocks,buy,2025-08-27,1D,FF5,-0.019685,True,False,21,computed
21,NVDA,Jose Najarro Stocks,buy,2025-08-27,1D,Carhart,-0.024894,True,False,21,computed
