event_id,ticker,creator,recommendation_type,event_date,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_cluster_id,right_censored,beta_window,beta_observations,status
3,AMZN,The Investor Channel,buy,2023-06-23,252D,Carhart,0.324314,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,5D,FF5_MOM,-0.015092,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,21D,FF5_MOM,-0.048509,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,63D,FF5_MOM,-0.049186,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,126D,FF5_MOM,0.088705,True,False,,False,252to21,232,computed
3,AMZN,The Investor Channel,buy,2023-06-23,252D,FF5_MOM,0.092791,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,5D,CAPM,-0.056781,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,21D,CAPM,-0.066004,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,63D,CAPM,-0.137275,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,126D,CAPM,-0.300597,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,252D,CAPM,0.991104,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,5D,FF3,-0.048198,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,21D,FF3,-0.027522,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,63D,FF3,-0.080619,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,126D,FF3,-0.162275,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,252D,FF3,1.189695,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,5D,FF5,-0.048464,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,21D,FF5,-0.039511,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,63D,FF5,-0.168783,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,126D,FF5,-0.284624,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,252D,FF5,0.974187,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,5D,Carhart,-0.046235,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,21D,Carhart,-0.036750,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,63D,Carhart,-0.104004,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,126D,Carhart,-0.184517,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,252D,Carhart,1.193826,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,5D,FF5_MOM,-0.048149,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,21D,FF5_MOM,-0.041773,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,63D,FF5_MOM,-0.171173,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,126D,FF5_MOM,-0.284166,True,False,,False,252to21,232,computed
4,NVDA,The Investor Channel,buy,2023-06-23,252D,FF5_MOM,0.987751,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,5D,CAPM,-0.013246,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,21D,CAPM,-0.025197,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,63D,CAPM,0.039651,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,126D,CAPM,-0.013117,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,252D,CAPM,-0.340282,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,5D,FF3,-0.005720,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,21D,FF3,0.009274,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,63D,FF3,0.108344,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,126D,FF3,0.125549,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,252D,FF3,-0.078649,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,5D,FF5,0.005380,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,21D,FF5,-0.004312,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,63D,FF5,-0.115378,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,126D,FF5,-0.240190,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,252D,FF5,-0.784555,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,5D,Carhart,-0.000054,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,21D,Carhart,-0.017367,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,63D,Carhart,0.040835,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,126D,Carhart,0.061339,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,252D,Carhart,-0.066722,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,5D,FF5_MOM,0.005820,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,21D,FF5_MOM,-0.007476,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,63D,FF5_MOM,-0.118722,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,126D,FF5_MOM,-0.239549,True,False,,False,252to21,232,computed
5,TSLA,The Investor Channel,buy,2023-06-23,252D,FF5_MOM,-0.765581,True,False,,False,252to21,232,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,5D,CAPM,0.019494,False,True,,False,252to21,232,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,21D,CAPM,,False,True,,False,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,63D,CAPM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,126D,CAPM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,252D,CAPM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,5D,FF3,0.020845,False,True,,False,252to21,232,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,21D,FF3,,False,True,,False,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,63D,FF3,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,126D,FF3,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,252D,FF3,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,5D,FF5,0.022877,False,True,,False,252to21,232,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,21D,FF5,,False,True,,False,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,63D,FF5,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,126D,FF5,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,252D,FF5,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,5D,Carhart,0.031183,False,True,,False,252to21,232,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,21D,Carhart,,False,True,,False,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,63D,Carhart,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,126D,Carhart,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,252D,Carhart,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,5D,FF5_MOM,0.030830,False,True,,False,252to21,232,computed
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,21D,FF5_MOM,,False,True,,False,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,63D,FF5_MOM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,126D,FF5_MOM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
6,PYPL,"Parkev Tatevosian, CFA",buy,2026-03-07,252D,FF5_MOM,,False,True,,True,252to21,232,missing_event_window_factor_or_price
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,5D,CAPM,0.011836,False,True,,False,252to21,232,computed
7,MSFT,"Parkev Tatevosian, CFA",buy,2026-02-06,21D,CAPM,0.030261,False,True,,False,252to21,232,computed
