provider,event_id,ticker,query_status,error_class_safe
gdelt_news,2031,AMC,http_429,
gdelt_news,2032,AMC,http_429,
gdelt_news,2033,AMC,http_429,
gdelt_news,2034,AMC,json_parse_failed,
gdelt_news,2035,AMC,http_429,
gdelt_news,2036,AMC,http_429,
gdelt_news,2037,TSLA,http_429,
gdelt_news,2039,TSLA,http_429,
gdelt_news,2040,TSLA,http_429,
gdelt_news,2041,TSLA,http_429,
gdelt_news,2043,AMC,http_429,
gdelt_news,2229,TSLA,http_429,
gdelt_news,2327,MSFT,http_429,
fmp_news,11,NFLX,http_403,
fmp_news,53,MSFT,http_403,
fmp_news,73,NFLX,http_403,
fmp_news,74,NFLX,http_403,
fmp_news,75,GOOGL,http_403,
fmp_news,89,GOOGL,http_403,
fmp_news,90,GOOGL,http_403,
fmp_news,93,NFLX,http_403,
fmp_news,103,NFLX,http_403,
fmp_news,104,MSFT,http_403,
fmp_news,106,GOOGL,http_403,
fmp_news,177,MSFT,http_403,
fmp_news,186,DIS,http_403,
fmp_news,219,NFLX,http_403,
fmp_news,229,SHOP,http_403,
fmp_news,230,META,http_403,
fmp_news,240,AMC,http_403,
fmp_news,250,MSFT,http_403,
fmp_news,349,GOOGL,http_403,
fmp_news,400,GOOGL,http_403,
fmp_news,405,GOOGL,http_403,
fmp_news,422,NFLX,http_403,
fmp_news,423,NFLX,http_403,
fmp_news,425,META,http_403,
fmp_news,478,META,http_403,
fmp_news,479,META,http_403,
fmp_news,480,META,http_403,
fmp_news,481,META,http_403,
fmp_news,482,META,http_403,
fmp_news,493,GOOGL,http_403,
fmp_news,494,GOOGL,http_403,
fmp_news,495,GOOGL,http_403,
fmp_news,512,GOOGL,http_403,
fmp_news,513,GOOGL,http_403,
fmp_news,556,GOOGL,http_403,
fmp_news,635,GOOGL,http_403,
fmp_news,669,META,http_403,
fmp_news,670,META,http_403,
fmp_news,671,META,http_403,
fmp_news,672,MSFT,http_403,
fmp_news,673,MSFT,http_403,
fmp_news,674,GOOGL,http_403,
fmp_news,765,MSFT,http_403,
fmp_news,799,DIS,http_403,
fmp_news,805,NFLX,http_403,
fmp_news,861,GOOGL,http_403,
fmp_news,967,MSFT,http_403,
fmp_news,1580,GOOGL,http_403,
fmp_news,1649,MSFT,http_403,
fmp_news,1650,GOOGL,http_403,
fmp_news,1652,DIS,http_403,
fmp_news,1653,DIS,http_403,
fmp_news,1675,MSFT,http_403,
fmp_news,1747,MSFT,http_403,
fmp_news,1755,MSFT,http_403,
fmp_news,1848,SQ,http_403,
fmp_news,1863,DIS,http_403,
fmp_news,1864,SHOP,http_403,
fmp_news,2087,DIS,http_403,
fmp_news,2088,MSFT,http_403,
fmp_news,2090,GOOGL,http_403,
fmp_news,2152,NFLX,http_403,
fmp_news,2153,NFLX,http_403,
fmp_news,2183,GOOGL,http_403,
fmp_news,2190,GOOGL,http_403,
fmp_news,2198,DIS,http_403,
fmp_news,2200,MSFT,http_403,
fmp_news,2203,NFLX,http_403,
fmp_news,2237,SQ,http_403,
fmp_news,2240,MSFT,http_403,
fmp_news,2241,DIS,http_403,
fmp_news,2242,DIS,http_403,
fmp_news,2252,GOOGL,http_403,
fmp_news,2253,GOOGL,http_403,
fmp_news,2284,SQ,http_403,
fmp_news,2290,MSFT,http_403,
fmp_news,2302,MSFT,http_403,
fmp_news,2307,GOOGL,http_403,
fmp_news,2308,MSFT,http_403,
fmp_news,2309,NFLX,http_403,
finnhub_news,229,SHOP,rate_limited,
fmp_press_release,11,NFLX,http_403,
fmp_press_release,53,MSFT,http_403,
fmp_press_release,73,NFLX,http_403,
fmp_press_release,74,NFLX,http_403,
fmp_press_release,75,GOOGL,http_403,
fmp_press_release,89,GOOGL,http_403,
fmp_press_release,90,GOOGL,http_403,
fmp_press_release,93,NFLX,http_403,
fmp_press_release,103,NFLX,http_403,
fmp_press_release,104,MSFT,http_403,
fmp_press_release,106,GOOGL,http_403,
fmp_press_release,177,MSFT,http_403,
fmp_press_release,186,DIS,http_403,
fmp_press_release,219,NFLX,http_403,
fmp_press_release,229,SHOP,http_403,
fmp_press_release,230,META,http_403,
fmp_press_release,240,AMC,http_403,
fmp_press_release,250,MSFT,http_403,
fmp_press_release,349,GOOGL,http_403,
fmp_press_release,400,GOOGL,http_403,
fmp_press_release,405,GOOGL,http_403,
fmp_press_release,422,NFLX,http_403,
fmp_press_release,423,NFLX,http_403,
fmp_press_release,425,META,http_403,
fmp_press_release,478,META,http_403,
fmp_press_release,479,META,http_403,
fmp_press_release,480,META,http_403,
fmp_press_release,481,META,http_403,
fmp_press_release,482,META,http_403,
fmp_press_release,493,GOOGL,http_403,
fmp_press_release,494,GOOGL,http_403,
fmp_press_release,495,GOOGL,http_403,
fmp_press_release,512,GOOGL,http_403,
fmp_press_release,513,GOOGL,http_403,
fmp_press_release,556,GOOGL,http_403,
fmp_press_release,635,GOOGL,http_403,
fmp_press_release,669,META,http_403,
fmp_press_release,670,META,http_403,
fmp_press_release,671,META,http_403,
fmp_press_release,672,MSFT,http_403,
fmp_press_release,673,MSFT,http_403,
fmp_press_release,674,GOOGL,http_403,
fmp_press_release,765,MSFT,http_403,
fmp_press_release,799,DIS,http_403,
fmp_press_release,805,NFLX,http_403,
fmp_press_release,861,GOOGL,http_403,
fmp_press_release,967,MSFT,http_403,
fmp_press_release,1580,GOOGL,http_403,
fmp_press_release,1649,MSFT,http_403,
fmp_press_release,1650,GOOGL,http_403,
fmp_press_release,1652,DIS,http_403,
fmp_press_release,1653,DIS,http_403,
fmp_press_release,1675,MSFT,http_403,
fmp_press_release,1747,MSFT,http_403,
fmp_press_release,1755,MSFT,http_403,
fmp_press_release,1848,SQ,http_403,
fmp_press_release,1863,DIS,http_403,
fmp_press_release,1864,SHOP,http_403,
fmp_press_release,2087,DIS,http_403,
fmp_press_release,2088,MSFT,http_403,
fmp_press_release,2090,GOOGL,http_403,
fmp_press_release,2152,NFLX,http_403,
fmp_press_release,2153,NFLX,http_403,
fmp_press_release,2183,GOOGL,http_403,
fmp_press_release,2190,GOOGL,http_403,
fmp_press_release,2198,DIS,http_403,
fmp_press_release,2200,MSFT,http_403,
fmp_press_release,2203,NFLX,http_403,
fmp_press_release,2237,SQ,http_403,
fmp_press_release,2240,MSFT,http_403,
fmp_press_release,2241,DIS,http_403,
fmp_press_release,2242,DIS,http_403,
fmp_press_release,2252,GOOGL,http_403,
fmp_press_release,2253,GOOGL,http_403,
fmp_press_release,2284,SQ,http_403,
fmp_press_release,2290,MSFT,http_403,
fmp_press_release,2302,MSFT,http_403,
fmp_press_release,2307,GOOGL,http_403,
fmp_press_release,2308,MSFT,http_403,
fmp_press_release,2309,NFLX,http_403,
