event_id,ticker,company_name,event_date,av_expanded_query_success,window_pm5_article_count,window_pm5_top_source_domains,window_pm5_earnings_news_flag,window_pm5_analyst_news_flag,window_pm5_product_news_flag,window_pm5_legal_regulatory_news_flag,window_pm5_macro_sector_news_flag,window_pm5_major_news_flag,window_pm21_article_count,window_pm21_top_source_domains,window_pm21_earnings_news_flag,window_pm21_analyst_news_flag,window_pm21_product_news_flag,window_pm21_legal_regulatory_news_flag,window_pm21_macro_sector_news_flag,window_pm21_major_news_flag,window_pm63_article_count,window_pm63_top_source_domains,window_pm63_earnings_news_flag,window_pm63_analyst_news_flag,window_pm63_product_news_flag,window_pm63_legal_regulatory_news_flag,window_pm63_macro_sector_news_flag,window_pm63_major_news_flag,av_expanded_news_confounded_flag,av_expanded_news_clean_flag,av_expanded_news_unknown_flag,reason_codes
87,GOOGL,Alphabet,2025-08-20,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_event
88,META,Meta,2026-02-24,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_event
89,GOOGL,Alphabet,2023-03-17,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_event
90,GOOGL,Alphabet,2023-03-17,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_event
91,AAPL,Apple,2023-03-17,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_event
92,AAPL,Apple,2023-03-17,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_event
93,NFLX,Netflix,2023-03-17,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_event
94,NVDA,Nvidia,2023-03-17,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_event
95,MSFT,Microsoft,2023-07-21,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_event
96,NVDA,Nvidia,2023-07-21,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,0,,False,False,False,False,False,False,False,False,True,provider_not_successfully_queried_for_event
