strategy,sequence,event_date,equity,drawdown
long_top5_buys,233,2024-01-17,8.441782,-0.647740
long_top5_buys,234,2024-01-17,7.829302,-0.673298
long_top5_buys,235,2024-01-18,9.935582,-0.585407
long_top5_buys,236,2024-01-19,9.047776,-0.622453
long_top5_buys,237,2024-01-22,8.815882,-0.632130
long_top5_buys,238,2024-01-22,9.949215,-0.584838
long_top5_buys,239,2024-01-22,11.228244,-0.531467
long_top5_buys,240,2024-01-22,10.940465,-0.543475
long_top5_buys,241,2024-01-25,11.917721,-0.502696
long_top5_buys,242,2024-01-25,12.982271,-0.458274
long_top5_buys,243,2024-01-25,14.141911,-0.409885
long_top5_buys,244,2024-01-26,18.200992,-0.240507
long_top5_buys,245,2024-01-26,23.425129,-0.022514
long_top5_buys,246,2024-01-26,25.489432,0.000000
long_top5_buys,247,2024-01-29,26.908910,0.000000
long_top5_buys,248,2024-01-29,28.407436,0.000000
long_top5_buys,249,2024-01-29,29.989414,0.000000
long_top5_buys,250,2024-01-29,31.659491,0.000000
long_top5_buys,251,2024-01-29,33.422572,0.000000
long_top5_buys,252,2024-01-29,35.283838,0.000000
long_top5_buys,253,2024-01-29,37.248755,0.000000
long_top5_buys,254,2024-01-29,39.323096,0.000000
long_top5_buys,255,2024-01-29,41.512955,0.000000
long_top5_buys,256,2024-01-30,52.213622,0.000000
long_top5_buys,257,2024-02-01,58.082018,0.000000
long_top5_buys,258,2024-02-01,54.350872,-0.064239
long_top5_buys,259,2024-02-02,54.945746,-0.053997
long_top5_buys,260,2024-02-02,50.222048,-0.135325
long_top5_buys,261,2024-02-02,65.132774,0.000000
long_top5_buys,262,2024-02-02,84.470434,0.000000
long_top5_buys,263,2024-02-02,109.549368,0.000000
long_top5_buys,264,2024-02-02,100.131385,-0.085970
long_top5_buys,265,2024-02-05,101.762450,-0.071081
long_top5_buys,266,2024-02-05,103.420084,-0.055950
long_top5_buys,267,2024-02-07,106.084689,-0.031627
long_top5_buys,268,2024-02-07,132.201958,0.000000
long_top5_buys,269,2024-02-08,162.504966,0.000000
long_top5_buys,270,2024-02-08,164.127155,0.000000
long_top5_buys,271,2024-02-10,147.446318,-0.101634
long_top5_buys,272,2024-02-10,134.456332,-0.180779
long_top5_buys,273,2024-02-10,137.412555,-0.162768
long_top5_buys,274,2024-02-10,123.446819,-0.247859
long_top5_buys,275,2024-02-13,108.701858,-0.337697
long_top5_buys,276,2024-02-13,101.357201,-0.382447
long_top5_buys,277,2024-02-13,107.180192,-0.346969
