creator,horizon,event_count,mean_spy_bhar,t_spy_bhar,p_spy_bhar,median_spy_bhar,win_rate_spy_bhar,right_censored
Joseph Carlson,5D,44,-0.004432,-0.948,0.343117,0.002467,0.5227,0
Joseph Carlson,63D,44,0.042873,2.131,0.033124,0.032199,0.6136,0
Joseph Carlson,end_of_sample,44,0.152268,1.100,0.271173,0.016081,0.5455,0
Kenan Grace,126D,8,0.030057,0.573,0.566675,0.041851,0.7500,7
Kenan Grace,21D,8,0.025383,0.804,0.421470,0.014112,0.6250,4
Kenan Grace,252D,8,0.015708,0.246,0.805862,0.041851,0.7500,8
Kenan Grace,504D,8,0.015708,0.246,0.805862,0.041851,0.7500,8
Kenan Grace,5D,8,0.019147,2.810,0.004955,0.022256,0.8750,0
Kenan Grace,63D,8,0.013657,0.320,0.749341,0.014112,0.6250,6
Kenan Grace,end_of_sample,8,0.015708,0.246,0.805862,0.041851,0.7500,0
Learn to Invest - Investors Grow,126D,38,0.094621,2.933,0.003354,0.109703,0.7895,3
Learn to Invest - Investors Grow,21D,38,0.039881,1.916,0.055359,0.022585,0.5789,0
Learn to Invest - Investors Grow,252D,38,0.089468,2.002,0.045232,0.049640,0.5789,4
Learn to Invest - Investors Grow,504D,38,0.127276,1.445,0.148356,0.098956,0.5526,26
Learn to Invest - Investors Grow,5D,38,0.036254,3.102,0.001923,0.018279,0.7368,0
Learn to Invest - Investors Grow,63D,38,0.095343,3.796,0.000147,0.129786,0.6053,1
Learn to Invest - Investors Grow,end_of_sample,38,0.260303,1.437,0.150674,-0.152759,0.4737,0
"Mark Roussin, CPA",126D,213,0.095476,4.910,0.000001,0.046804,0.6009,19
"Mark Roussin, CPA",21D,213,0.010593,1.699,0.089340,0.004331,0.5164,8
"Mark Roussin, CPA",252D,213,0.160553,5.012,0.000001,0.056857,0.5962,42
"Mark Roussin, CPA",504D,213,0.335336,6.445,0.000000,0.083004,0.6338,148
"Mark Roussin, CPA",5D,213,0.005511,1.777,0.075648,0.001467,0.5117,0
"Mark Roussin, CPA",63D,213,0.047680,4.067,0.000048,0.036668,0.5681,12
"Mark Roussin, CPA",end_of_sample,213,0.385084,6.410,0.000000,0.102310,0.6244,0
Meet Kevin,126D,12,0.089971,1.069,0.285221,0.035849,0.5000,12
Meet Kevin,21D,12,-0.011285,-0.836,0.402964,-0.026321,0.4167,0
Meet Kevin,252D,12,0.089971,1.069,0.285221,0.035849,0.5000,12
Meet Kevin,504D,12,0.089971,1.069,0.285221,0.035849,0.5000,12
Meet Kevin,5D,12,0.005517,0.386,0.699311,0.000890,0.5000,0
Meet Kevin,63D,12,-0.048375,-2.275,0.022879,-0.055564,0.2500,1
Meet Kevin,end_of_sample,12,0.089971,1.069,0.285221,0.035849,0.5000,0
Minority Mindset,126D,1,0.041472,,,0.041472,1.0000,1
Minority Mindset,21D,1,-0.092807,,,-0.092807,0.0000,0
Minority Mindset,252D,1,0.041472,,,0.041472,1.0000,1
Minority Mindset,504D,1,0.041472,,,0.041472,1.0000,1
Minority Mindset,5D,1,-0.138829,,,-0.138829,0.0000,0
Minority Mindset,63D,1,0.084413,,,0.084413,1.0000,0
Minority Mindset,end_of_sample,1,0.041472,,,0.041472,1.0000,0
New Money,126D,28,0.050619,1.562,0.118181,0.104187,0.6071,0
New Money,21D,28,0.002843,0.295,0.768288,0.005496,0.5714,0
New Money,252D,28,0.069810,1.848,0.064553,0.005185,0.5357,0
New Money,504D,28,0.135035,1.940,0.052338,0.118527,0.6786,5
New Money,5D,28,0.006650,1.351,0.176628,0.016627,0.5714,0
New Money,63D,28,0.036119,1.264,0.206231,0.012694,0.5714,0
New Money,end_of_sample,28,0.303743,2.064,0.038978,0.170408,0.6786,0
"Parkev Tatevosian, CFA",126D,127,0.036750,1.414,0.157393,-0.040901,0.3622,127
"Parkev Tatevosian, CFA",21D,127,0.001740,0.138,0.890550,-0.016299,0.4252,51
"Parkev Tatevosian, CFA",252D,127,0.036750,1.414,0.157393,-0.040901,0.3622,127
"Parkev Tatevosian, CFA",504D,127,0.036750,1.414,0.157393,-0.040901,0.3622,127
"Parkev Tatevosian, CFA",5D,127,-0.010292,-1.996,0.045883,-0.010977,0.3937,12
"Parkev Tatevosian, CFA",63D,127,0.037602,1.426,0.154011,-0.040614,0.3622,113
"Parkev Tatevosian, CFA",end_of_sample,127,0.036750,1.414,0.157393,-0.040901,0.3622,0
STOCK UP! with LARRY JONES,126D,19,-0.000416,-0.010,0.992280,-0.003549,0.4737,12
STOCK UP! with LARRY JONES,21D,19,-0.024219,-1.301,0.193175,-0.019651,0.2632,1
STOCK UP! with LARRY JONES,252D,19,0.010497,0.242,0.808418,0.015066,0.6316,19
STOCK UP! with LARRY JONES,504D,19,0.010497,0.242,0.808418,0.015066,0.6316,19
STOCK UP! with LARRY JONES,5D,19,-0.007344,-0.650,0.515480,-0.000503,0.4737,0
STOCK UP! with LARRY JONES,63D,19,-0.022683,-0.543,0.586957,-0.030097,0.4737,6
STOCK UP! with LARRY JONES,end_of_sample,19,0.010497,0.242,0.808418,0.015066,0.6316,0
Sasha Yanshin,126D,49,0.137243,3.064,0.002182,0.122879,0.6735,1
Sasha Yanshin,21D,49,-0.020956,-0.847,0.396978,-0.001078,0.4490,0
Sasha Yanshin,252D,49,0.178970,3.672,0.000241,0.138452,0.7959,1
Sasha Yanshin,504D,49,0.356288,4.125,0.000037,0.153441,0.7755,9
Sasha Yanshin,5D,49,-0.006946,-0.608,0.542895,0.012461,0.5510,0
Sasha Yanshin,63D,49,0.040472,1.335,0.182019,0.044553,0.6531,1
Sasha Yanshin,end_of_sample,49,1.087482,5.092,0.000000,0.389709,0.8776,0
Stock Moe,126D,10,0.043748,1.043,0.297098,0.089921,0.6000,10
Stock Moe,21D,10,-0.024054,-1.024,0.305683,-0.027595,0.3000,1
Stock Moe,252D,10,0.043748,1.043,0.297098,0.089921,0.6000,10
Stock Moe,504D,10,0.043748,1.043,0.297098,0.089921,0.6000,10
Stock Moe,5D,10,0.004520,0.665,0.505798,-0.003928,0.4000,0
Stock Moe,63D,10,-0.054191,-2.364,0.018091,-0.015687,0.3000,1
Stock Moe,end_of_sample,10,0.043748,1.043,0.297098,0.089921,0.6000,0
The Investor Channel,126D,494,0.107759,8.417,0.000000,0.060135,0.6457,22
The Investor Channel,21D,494,0.023096,4.778,0.000002,0.012812,0.5891,1
The Investor Channel,252D,494,0.197143,9.313,0.000000,0.077460,0.6215,46
The Investor Channel,504D,494,0.365836,10.850,0.000000,0.136011,0.6640,258
The Investor Channel,5D,494,0.006698,2.623,0.008715,0.001509,0.5202,0
The Investor Channel,63D,494,0.060841,7.184,0.000000,0.029093,0.5789,7
The Investor Channel,end_of_sample,494,0.493050,9.539,0.000000,0.154613,0.6640,0
The Plain Bagel,126D,10,0.346931,2.142,0.032161,0.089652,0.7000,0
The Plain Bagel,21D,10,-0.051049,-1.238,0.215675,-0.072741,0.3000,0
The Plain Bagel,252D,10,0.625218,1.663,0.096290,0.198872,0.6000,1
The Plain Bagel,504D,10,0.708399,1.412,0.157910,0.488283,0.7000,5
The Plain Bagel,5D,10,0.013114,0.443,0.657899,0.030627,0.7000,0
The Plain Bagel,63D,10,-0.014868,-0.501,0.616178,0.029084,0.7000,0
The Plain Bagel,end_of_sample,10,1.077120,1.524,0.127622,0.578882,0.7000,0
The Swedish Investor,126D,11,-0.049840,-0.568,0.569768,-0.016718,0.3636,0
The Swedish Investor,21D,11,0.000730,0.020,0.984320,0.030352,0.6364,0
The Swedish Investor,252D,11,-0.027453,-0.332,0.739797,-0.043291,0.4545,1
The Swedish Investor,504D,11,0.079218,0.710,0.477915,0.085019,0.7273,3
The Swedish Investor,5D,11,-0.000647,-0.054,0.957238,0.003390,0.7273,0
The Swedish Investor,63D,11,0.036541,0.846,0.397616,0.044235,0.6364,0
The Swedish Investor,end_of_sample,11,0.073924,0.439,0.660652,-0.022460,0.3636,0
Ticker Symbol: YOU,126D,66,0.182057,3.452,0.000556,0.065851,0.6818,6
Ticker Symbol: YOU,21D,66,0.016057,1.248,0.211892,0.004572,0.5303,2
Ticker Symbol: YOU,252D,66,0.454547,6.129,0.000000,0.337051,0.7879,7
Ticker Symbol: YOU,504D,66,0.842375,6.231,0.000000,0.737217,0.8939,21
Ticker Symbol: YOU,5D,66,-0.001737,-0.256,0.798188,-0.002057,0.4545,0
Ticker Symbol: YOU,63D,66,0.083632,2.641,0.008261,0.010620,0.5455,3
Ticker Symbol: YOU,end_of_sample,66,1.335812,5.885,0.000000,0.779527,0.8788,0
Tom Nash,126D,18,0.276646,2.658,0.007869,0.068254,0.7222,1
Tom Nash,21D,18,0.087789,2.211,0.027028,0.061551,0.5556,0
Tom Nash,252D,18,0.260371,4.823,0.000001,0.273125,0.8889,1
Tom Nash,504D,18,0.593662,6.171,0.000000,0.463271,0.8889,16
Tom Nash,5D,18,0.024582,1.174,0.240344,-0.002542,0.4444,0
Tom Nash,63D,18,0.088747,2.312,0.020763,0.100604,0.6667,1
Tom Nash,end_of_sample,18,0.622333,6.146,0.000000,0.463271,0.8889,0
"Value Investing with Sven Carlin, Ph.D.",126D,43,0.099992,4.953,0.000001,0.102796,0.8837,31
"Value Investing with Sven Carlin, Ph.D.",21D,43,0.025318,2.086,0.036953,0.033136,0.6047,5
"Value Investing with Sven Carlin, Ph.D.",252D,43,0.102339,3.493,0.000477,0.133535,0.8837,40
