ticker,horizon,event_count,mean_spy_bhar,t_spy_bhar,p_spy_bhar,median_spy_bhar,win_rate_spy_bhar,right_censored
GOOGL,252D,240,0.297286,13.949,0.000000,0.181235,0.8375,99
GOOGL,504D,240,0.591424,22.287,0.000000,0.718675,0.9625,164
GOOGL,5D,240,0.010971,4.438,0.000009,0.006320,0.5792,3
GOOGL,63D,240,0.069064,7.537,0.000000,0.037885,0.6667,20
GOOGL,end_of_sample,240,0.939062,24.965,0.000000,1.018375,0.9958,0
HOOD,126D,9,-0.114659,-8.532,0.000000,-0.129073,0.0000,9
HOOD,21D,9,-0.028726,-0.937,0.348979,-0.032338,0.3333,3
HOOD,252D,9,-0.114659,-8.532,0.000000,-0.129073,0.0000,9
HOOD,504D,9,-0.114659,-8.532,0.000000,-0.129073,0.0000,9
HOOD,5D,9,-0.080028,-4.425,0.000010,-0.069866,0.0000,0
HOOD,63D,9,-0.107871,-10.725,0.000000,-0.129073,0.0000,6
HOOD,end_of_sample,9,-0.114659,-8.532,0.000000,-0.129073,0.0000,0
META,126D,112,-0.118235,-11.653,0.000000,-0.135118,0.0982,82
META,21D,112,-0.012255,-2.003,0.045146,-0.008594,0.4375,18
META,252D,112,-0.105916,-5.595,0.000000,-0.126252,0.0982,98
META,504D,112,-0.018854,-0.471,0.637945,-0.127774,0.1429,101
META,5D,112,-0.005153,-1.343,0.179430,-0.007201,0.4196,6
META,63D,112,-0.047107,-5.026,0.000001,-0.024815,0.3750,41
META,end_of_sample,112,-0.022688,-0.600,0.548479,-0.126252,0.1429,0
MSFT,126D,226,-0.024598,-2.709,0.006756,-0.043236,0.3938,55
MSFT,21D,226,-0.013295,-3.650,0.000262,-0.009971,0.4292,5
MSFT,252D,226,-0.059870,-5.409,0.000000,-0.066062,0.3407,72
MSFT,504D,226,-0.198311,-15.344,0.000000,-0.238719,0.1681,147
MSFT,5D,226,-0.005827,-2.718,0.006569,-0.005125,0.4204,0
MSFT,63D,226,-0.020651,-3.490,0.000482,-0.039517,0.2699,28
MSFT,end_of_sample,226,-0.337720,-31.413,0.000000,-0.350005,0.0000,0
NFLX,126D,92,0.020182,0.855,0.392481,0.005696,0.5109,38
NFLX,21D,92,0.006591,0.552,0.580987,0.013510,0.5652,9
NFLX,252D,92,0.077863,1.946,0.051697,-0.091434,0.4022,45
NFLX,504D,92,0.157341,2.323,0.020167,-0.091434,0.3261,63
NFLX,5D,92,0.004267,0.667,0.504649,-0.000567,0.5000,1
NFLX,63D,92,0.044632,2.555,0.010604,0.044472,0.6087,18
NFLX,end_of_sample,92,0.009167,0.212,0.832428,-0.091434,0.2935,0
NVDA,126D,391,0.206852,12.750,0.000000,0.119419,0.7877,141
NVDA,21D,391,0.021030,4.445,0.000009,0.007220,0.5780,21
NVDA,252D,391,0.361607,14.325,0.000000,0.147423,0.9872,218
NVDA,504D,391,0.602162,13.776,0.000000,0.160248,0.9872,308
NVDA,5D,391,0.006399,2.113,0.034639,0.001467,0.5115,1
NVDA,63D,391,0.099567,10.626,0.000000,0.059930,0.6573,67
NVDA,end_of_sample,391,0.802893,11.264,0.000000,0.160248,0.9872,0
PLTR,126D,12,-0.235710,-5.898,0.000000,-0.275875,0.0000,8
PLTR,21D,12,-0.082716,-4.373,0.000012,-0.080763,0.0833,4
PLTR,252D,12,-0.253270,-5.546,0.000000,-0.275875,0.0000,12
PLTR,504D,12,-0.253270,-5.546,0.000000,-0.275875,0.0000,12
PLTR,5D,12,-0.027065,-2.033,0.042015,-0.038205,0.0833,2
PLTR,63D,12,-0.196055,-5.891,0.000000,-0.204853,0.0000,6
PLTR,end_of_sample,12,-0.253270,-5.546,0.000000,-0.275875,0.0000,0
PYPL,126D,99,-0.227427,-12.121,0.000000,-0.326605,0.2020,43
PYPL,21D,99,-0.028474,-3.134,0.001724,-0.042764,0.2929,4
PYPL,252D,99,-0.283798,-13.662,0.000000,-0.358056,0.1818,77
PYPL,504D,99,-0.388819,-17.788,0.000000,-0.407192,0.1212,86
PYPL,5D,99,-0.005000,-0.981,0.326744,-0.008978,0.3535,0
PYPL,63D,99,-0.129846,-10.039,0.000000,-0.136897,0.2222,13
PYPL,end_of_sample,99,-0.440128,-15.904,0.000000,-0.453425,0.1212,0
ROKU,126D,1,0.146404,,,0.146404,1.0000,1
ROKU,21D,1,0.172080,,,0.172080,1.0000,0
ROKU,252D,1,0.146404,,,0.146404,1.0000,1
ROKU,504D,1,0.146404,,,0.146404,1.0000,1
ROKU,5D,1,0.047184,,,0.047184,1.0000,0
ROKU,63D,1,0.146404,,,0.146404,1.0000,1
ROKU,end_of_sample,1,0.146404,,,0.146404,1.0000,0
SOFI,126D,61,-0.213156,-5.741,0.000000,-0.262267,0.0492,48
SOFI,21D,61,-0.058551,-3.630,0.000284,-0.085604,0.1475,15
SOFI,252D,61,-0.301029,-12.667,0.000000,-0.278275,0.0000,60
SOFI,504D,61,-0.302713,-12.836,0.000000,-0.278275,0.0000,61
SOFI,5D,61,-0.002774,-0.310,0.756322,-0.018140,0.4098,2
SOFI,63D,61,-0.138296,-4.847,0.000001,-0.164036,0.1475,36
SOFI,end_of_sample,61,-0.302713,-12.836,0.000000,-0.278275,0.0000,0
TSLA,126D,307,0.180969,6.735,0.000000,0.055716,0.5603,37
TSLA,21D,307,0.010692,0.982,0.326150,-0.017488,0.4691,8
TSLA,252D,307,0.277535,9.524,0.000000,0.190197,0.6678,66
TSLA,504D,307,0.449334,12.719,0.000000,0.395283,0.7427,141
TSLA,5D,307,0.001034,0.192,0.847809,-0.012627,0.4463,1
TSLA,63D,307,0.073862,4.118,0.000038,0.019573,0.5147,17
TSLA,end_of_sample,307,0.547998,10.718,0.000000,0.395426,0.7687,0
UBER,126D,50,-0.093679,-3.655,0.000257,-0.126221,0.2000,26
UBER,21D,50,-0.024044,-2.397,0.016538,-0.028441,0.2200,7
UBER,252D,50,-0.163683,-7.029,0.000000,-0.162574,0.1200,39
UBER,504D,50,-0.204722,-10.668,0.000000,-0.208108,0.0200,49
UBER,5D,50,-0.014350,-1.978,0.047955,-0.026560,0.3200,3
UBER,63D,50,-0.043978,-2.272,0.023101,-0.058653,0.2000,13
UBER,end_of_sample,50,-0.211520,-11.265,0.000000,-0.213134,0.0000,0
