creator,channel_id,transcript_count,event_count,buy_count,sell_count,top5_share,non_top_share,avg_quality_score,avg_pre_event_momentum,mean_1d_ar,mean_5d_ar,t_5d,p_5d,median_5d_ar,win_rate_5d,duplicate_rate,low_lookahead_share,SEC_confounded_share,return_contribution_share
STOCK UP! with LARRY JONES,UCZw2iqBZShBxWy8r1fwqP8A,200,19,15,4,0.631579,0.368421,3.000000,,0.001688,-0.007344,-0.650,0.515480,-0.000503,0.473684,0.315789,0.000000,0.578947,-0.109239
Tom Nash,UCJwKCyEIFHwUOPQQ-4kC1Zw,250,19,13,6,0.789474,0.210526,2.894737,,0.001717,0.024582,1.174,0.240344,-0.002542,0.444444,0.578947,0.210526,0.684211,0.346407
Dumb Money Live,UCS01CiRDAiyhR_mTHXDW23A,250,15,9,6,0.666667,0.333333,3.000000,,0.007258,-0.024716,-1.515,0.129715,0.002971,0.571429,0.600000,0.133333,0.666667,-0.270903
Investing with Tom,UCG9FGwgAx9-RKq1smF1lc8w,340,15,10,5,0.666667,0.333333,2.933333,,-0.006310,-0.005007,-0.612,0.540865,0.003725,0.666667,0.266667,0.800000,0.133333,-0.058793
Best of Us Investors,UC-hq1OIl97y7h0DiJx45N3w,249,12,6,6,0.833333,0.166667,3.000000,,0.003516,-0.011911,-1.043,0.296800,-0.013396,0.416667,0.416667,1.000000,0.750000,-0.111898
Meet Kevin,UCUvvj5lwue7PspotMDjk5UA,248,12,7,5,0.833333,0.166667,2.916667,,-0.002444,0.005517,0.386,0.699311,0.000890,0.500000,0.166667,0.000000,0.416667,0.051832
The Swedish Investor,UCAeAB8ABXGoGMbXuYPmiu2A,82,11,9,2,0.636364,0.363636,2.909091,,0.000768,-0.000647,-0.054,0.957238,0.003390,0.727273,0.363636,0.909091,0.545455,-0.005568
Stock Moe,UCoMzWLaPjDJBbipihD694pQ,249,10,8,2,0.400000,0.600000,3.000000,,0.001091,0.004520,0.665,0.505798,-0.003928,0.400000,0.200000,0.800000,0.600000,0.035389
The Plain Bagel,UCFCEuCsyWP0YkP3CZ3Mr01Q,224,10,7,3,0.600000,0.400000,3.000000,,0.018592,0.013114,0.443,0.657899,0.030627,0.700000,0.600000,0.200000,0.500000,0.102667
Dividend Bull,UCLxMEPUoHpKq4PEk85RZn9A,349,9,2,7,0.777778,0.222222,2.888889,,-0.015226,-0.008211,-0.540,0.589098,-0.010432,0.444444,0.222222,0.000000,0.444444,-0.057857
Chris Sain,UCrTFPf6rq5OUSWb7ILW9trg,248,8,8,0,0.375000,0.625000,2.875000,,-0.003303,-0.012889,-1.049,0.294161,-0.011062,0.500000,0.000000,0.125000,0.375000,-0.080728
Kenan Grace,UCfbqdAYRKCKS3okHg8VhpIQ,250,8,7,1,0.625000,0.375000,3.000000,,0.008939,0.019147,2.810,0.004955,0.022256,0.875000,0.250000,0.000000,0.500000,0.119923
Graham Stephan,UCV6KDgJskWaEckne5aPA0aQ,192,6,6,0,1.000000,0.000000,3.000000,,-0.002161,-0.025619,-1.551,0.120961,-0.041627,0.333333,0.000000,0.333333,0.500000,-0.120343
Bloomberg Television,UCIALMKvObZNtJ6AmdCLP7Lg,170,3,2,1,0.666667,0.333333,3.000000,,0.015947,0.042668,1.318,0.187667,0.075053,0.666667,0.666667,0.000000,1.000000,0.100213
CNBC Television,UCrp_UI8XtuYfpiqluWLD7Lw,94,3,3,0,1.000000,0.000000,3.000000,,0.019261,0.044070,2.845,0.004445,0.028578,1.000000,0.666667,0.333333,1.000000,0.103505
Minority Mindset,UCT3EznhW_CNFcfOlyDNTLLw,250,1,1,0,1.000000,0.000000,3.000000,,-0.009408,-0.138829,,,-0.138829,0.000000,0.000000,1.000000,1.000000,-0.108688
