event_id,ticker,creator,top5_flag,event_date,pre_63_22_proxy,pre_21_2_proxy,pre_5_1_proxy,post_5,post_21,post_63,momentum_tag_21d
1161,AAPL,Daniel Pronk,True,2025-09-05,0.1014411541774651,0.1024102213603463,0.0332477724857787,-0.0391597633239315,0.0303957888637387,0.1119019785703843,continuation_or_stack
1162,AAPL,Daniel Pronk,True,2025-09-05,0.1014411541774651,0.1024102213603463,0.0332477724857787,-0.0391597633239315,0.0303957888637387,0.1119019785703843,continuation_or_stack
1163,AAPL,Investing with Tom,True,2023-07-04,0.070692236511398,0.0179733511757933,0.0014311280773684,-0.0146751536524899,-0.0137218535043851,-0.0524695324877153,reversal_or_contrast
1164,SOFI,Couch Investor,False,2026-04-10,-0.402978578346635,-0.1320343642817639,-0.012686904558675,0.152750399953677,-0.0856037369454962,-0.1486033974930464,continuation_or_stack
1165,AAPL,Stock Moe,True,2026-01-25,-0.0493739709993816,-0.0691672096125732,-0.0020164994682481,0.053294123676608,0.0740836983860131,0.0135334985163113,reversal_or_contrast
1166,GOOGL,Daniel Pronk,False,2025-12-01,0.4258113585658094,0.1180466714410595,0.0185951180198393,-0.0080030260621505,-0.0107394631238536,-0.0468368030568218,reversal_or_contrast
1167,GOOGL,Daniel Pronk,False,2025-12-01,0.4258113585658094,0.1180466714410595,0.0185951180198393,-0.0080030260621505,-0.0107394631238536,-0.0468368030568218,reversal_or_contrast
1168,GOOGL,Daniel Pronk,False,2025-12-01,0.4258113585658094,0.1180466714410595,0.0185951180198393,-0.0080030260621505,-0.0107394631238536,-0.0468368030568218,reversal_or_contrast
1169,TSLA,"Value Investing with Sven Carlin, Ph.D.",True,2026-04-27,-0.1651073781329802,-0.0910066598199255,-0.0443365665037019,0.0325778416293873,0.1379296222483328,0.1379296222483328,reversal_or_contrast
1170,NVDA,"Value Investing with Sven Carlin, Ph.D.",True,2026-04-27,0.1264843274193543,0.1563138094424034,0.0629073984106616,-0.0876699572862795,0.0046159435447687,0.0046159435447687,continuation_or_stack
1171,PYPL,Daniel Pronk,False,2025-11-09,-0.0885384141540884,-0.0949241655485647,-0.0278018811083485,-0.0426690099185547,-0.0836917079420936,-0.4063096269180118,continuation_or_stack
1172,MSFT,The Swedish Investor,False,2023-10-02,-0.0121467427815672,0.0296292077445486,0.0247984725607036,0.0132681274042074,0.0720029309996374,0.0442348854740533,continuation_or_stack
1173,TSLA,The Swedish Investor,True,2023-10-02,-0.0671121919012923,0.0227048155231116,0.030047543996427,0.020420435420128,-0.180429446662081,-0.1232293942092376,reversal_or_contrast
1174,TSLA,The Swedish Investor,True,2023-10-02,-0.0671121919012923,0.0227048155231116,0.030047543996427,0.020420435420128,-0.180429446662081,-0.1232293942092376,reversal_or_contrast
1175,NVDA,The Investor Channel,True,2025-11-28,-0.0461269965979125,-0.1392736676520606,-0.0674433747669731,0.0272568196740012,0.0513392894299393,0.0188242334148602,reversal_or_contrast
1176,GOOGL,The Investor Channel,False,2025-11-28,0.4427983970683966,0.1719333016229228,0.0588740267272913,3.868357959557756e-05,-0.0273965855056749,-0.0496897268464319,reversal_or_contrast
1177,META,The Investor Channel,False,2025-11-28,-0.1846333995688823,-0.1321668830492856,0.0525120503144012,0.0359429301977589,0.020350370275757,0.0133644512092536,continuation_or_stack
1178,TSLA,The Investor Channel,True,2025-09-26,0.2815416591664128,0.2333966907890865,0.0364654952377004,-0.0351670793681995,-0.008093774545002,0.032866440381041,reversal_or_contrast
1179,META,Dividendology,False,2026-02-10,0.0451411703954705,0.0298513731894939,-0.0340872272406528,-0.0325773221193358,-0.0108624973728901,-0.1696582738901767,continuation_or_stack
1180,MSFT,Learn to Invest - Investors Grow,False,2025-07-31,0.2090251321726206,0.0608767845811228,0.0479649236582812,-0.0239989973577465,-0.0692113040537256,-0.0737621516543973,reversal_or_contrast
1181,AAPL,Everything Money,True,2026-03-07,-0.0672917083611646,-0.0581766437007259,-0.0064678737218033,-0.0135434040579217,-0.003160811230543,0.0536848946458203,continuation_or_stack
1182,GOOGL,Daniel Pronk,False,2025-11-13,0.3200867962563827,0.0993798993740213,-0.0242841182113482,0.0680875070425645,0.0942293275976355,0.0658012174993583,reversal_or_contrast
1183,AMZN,Daniel Pronk,True,2025-11-13,-0.0189928549230706,0.0917732643466986,-0.0250462215150149,-0.0570032721761397,-0.0762358190526046,-0.1724256403518947,continuation_or_stack
1184,META,Jose Najarro Stocks,False,2026-05-01,-0.1939475869672411,-0.0488618250533698,-0.1075868474528544,-0.022102550977902,-0.0171115944380877,-0.0171115944380877,continuation_or_stack
1185,AAPL,The Swedish Investor,True,2022-06-24,-0.0546357315820178,0.0146570926324705,0.0206913558783163,0.00339035367241,0.0680915438963258,0.1162408850003393,continuation_or_stack
1186,AMZN,The Investor Channel,True,2025-08-15,0.0330936004205038,0.0074159358615439,0.02762662791598,-0.0123855157521662,-0.0126647492954525,-0.0189928549230706,reversal_or_contrast
1187,GOOGL,The Investor Channel,False,2025-08-15,0.1521531500991417,0.086166613897211,0.0024880806279339,0.0078343394464257,0.2071453948337456,0.3200867962563827,continuation_or_stack
1188,AAPL,Investing with Tom,True,2023-07-10,0.0685803358145391,0.0261155644155111,-0.0194666283647979,0.0030958638596902,-0.0673852719989238,-0.0381151784139568,continuation_or_stack
1189,MSFT,Dividendology,False,2026-02-13,-0.2139462275310744,-0.1139160119598348,0.0132922440069992,-0.0407386662224804,0.0135886043680684,-0.0798062906126322,continuation_or_stack
1190,AMZN,Dividendology,True,2026-02-13,-0.1865167994936537,-0.1475113530897819,-0.0419777814004099,0.03165843723853,0.09862575833815,0.2670673957584535,reversal_or_contrast
1191,META,Dividendology,False,2026-04-22,0.0612086118790629,0.0317878458649971,-0.0114259358954067,-0.0088199365999744,-0.1298231841657861,-0.1298231841657861,continuation_or_stack
1192,AMZN,The Swedish Investor,True,2022-10-29,-0.1867758639704995,-0.1747267920222938,-0.1644242757696067,-0.1000544311117163,-0.11318636630596,-0.0421000633718982,continuation_or_stack
1193,MSFT,Everything Money,False,2026-03-10,-0.1487858907421104,0.0332866969703624,0.009160722637075,-0.006213433810827,-0.0873383032487313,-0.1005274964116674,reversal_or_contrast
1194,GOOGL,Couch Investor,False,2026-03-05,-0.0492831510017524,-0.1023821578079845,-0.0095551301188435,0.0319675526065326,0.0279510754560005,0.2465745464775681,reversal_or_contrast
1195,SOFI,"Mark Roussin, CPA",False,2025-12-02,0.1433425268424621,-0.0049507396438852,0.0578664563464779,-0.09303212560587,-0.074836309514088,-0.3503098563038573,reversal_or_contrast
1196,SOFI,"Mark Roussin, CPA",False,2025-12-02,0.1433425268424621,-0.0049507396438852,0.0578664563464779,-0.09303212560587,-0.074836309514088,-0.3503098563038573,reversal_or_contrast
1197,UBER,"Mark Roussin, CPA",False,2025-12-02,-0.1194183593477848,-0.0917618375950644,0.0272206720275332,0.0149137102251499,-0.0591538270423473,-0.1411488246204081,reversal_or_contrast
1198,NVDA,"Mark Roussin, CPA",True,2025-12-13,-0.0261498055302868,-0.0694446564952014,-0.0456636267115078,0.0329805510884486,0.0411226704226344,0.04884998811533,reversal_or_contrast
1199,NVDA,The Investor Channel,True,2026-03-20,0.038853813083043,-0.030968992251997,-0.0238447302183832,-0.0076681577327243,0.0717944850312506,0.1631100044979823,reversal_or_contrast
1200,AMD,The Investor Channel,True,2026-02-27,-0.0479740464595342,-0.1942819190238377,0.0052895164047424,-0.0190193198434595,0.0554033811209661,1.140107936266976,continuation_or_stack
1201,NFLX,The Investor Channel,False,2026-02-27,-0.0974152695284642,0.150611145406649,0.2283276726599132,0.048726052807974,0.0422540559707093,-0.1752467612248399,continuation_or_stack
1202,NFLX,The Investor Channel,False,2026-02-27,-0.0974152695284642,0.150611145406649,0.2283276726599132,0.048726052807974,0.0422540559707093,-0.1752467612248399,continuation_or_stack
1203,AMZN,Dumb Money Live,True,2026-02-06,-0.1816491295455451,-0.1308340880745127,-0.119152260626298,-0.0419777814004099,0.03852691328764,0.2255287865364437,reversal_or_contrast
1204,HOOD,Dumb Money Live,False,2026-02-06,-0.4409821029212818,-0.293463292022714,-0.165519941879346,-0.0698659641048625,-0.032338338383988,-0.1408823649625645,continuation_or_stack
1205,TSLA,The Swedish Investor,True,2022-04-01,0.0697572231618611,0.249542700373025,0.0726634141824771,-0.0426785801045358,-0.0809883102732036,-0.2023030222929122,reversal_or_contrast
1206,META,"Mark Roussin, CPA",False,2026-03-26,-0.1160984525392058,-0.0948747024117047,-0.0778867041863098,0.0325166161493302,0.1307621440326714,-0.0245249853906759,reversal_or_contrast
1207,NFLX,"Mark Roussin, CPA",False,2026-04-18,0.0501499855363347,-0.0433949376230982,-0.1137173159768231,-0.0455872655497385,-0.1240588907469848,-0.1240588907469848,continuation_or_stack
1208,PLTR,"Parkev Tatevosian, CFA",False,2026-05-12,-0.0946214049950079,-0.0484841597234773,-0.0192474261949942,-0.0493448255973845,-0.0493448255973845,-0.0493448255973845,continuation_or_stack
1209,PLTR,"Parkev Tatevosian, CFA",False,2026-05-12,-0.0946214049950079,-0.0484841597234773,-0.0192474261949942,-0.0493448255973845,-0.0493448255973845,-0.0493448255973845,continuation_or_stack
1210,GOOGL,"Mark Roussin, CPA",False,2026-04-25,0.0167781871495755,0.1384806125500526,0.0291895736647962,0.0899662080245331,0.1112774232909146,0.1112774232909146,continuation_or_stack
1211,NVDA,"Value Investing with Sven Carlin, Ph.D.",True,2026-04-02,-0.0131626710036009,0.0093362315022139,0.0192656452961177,0.0273325570002953,0.024079418151065,0.1412072430221103,continuation_or_stack
1212,NVDA,"Value Investing with Sven Carlin, Ph.D.",True,2026-04-02,-0.0131626710036009,0.0093362315022139,0.0192656452961177,0.0273325570002953,0.024079418151065,0.1412072430221103,continuation_or_stack
1213,AAPL,"Value Investing with Sven Carlin, Ph.D.",True,2026-04-02,-0.0221191449455544,0.0150104182536792,-0.0046673481636703,-0.0182126219670124,-0.0131060039645414,0.0370383975758443,continuation_or_stack
1214,AMZN,"Mark Roussin, CPA",True,2024-08-17,-0.0954584845782257,-0.046156060638854,0.0190719155048624,-0.0173705782370762,0.0428679485199647,0.0869315606448819,continuation_or_stack
1215,AMZN,"Mark Roussin, CPA",True,2024-08-17,-0.0954584845782257,-0.046156060638854,0.0190719155048624,-0.0173705782370762,0.0428679485199647,0.0869315606448819,continuation_or_stack
1216,DIS,"Mark Roussin, CPA",False,2024-08-17,-0.1767040610374325,-0.0707338451008429,0.007267516483612,0.0084619307004878,0.0271911835329001,0.2172002094361307,continuation_or_stack
1217,AAPL,The Investor Channel,True,2024-02-02,-0.1046628972655925,-0.0458392304891372,-0.0483824788930347,0.0035820089681135,-0.1094234480718454,-0.0495121066839232,continuation_or_stack
1218,MSFT,"Mark Roussin, CPA",False,2024-10-01,-0.1212673667842226,-0.0033475607661046,-0.0150679585980149,-0.0222167007578656,0.0081131852797304,-0.0302442233916409,reversal_or_contrast
1219,PYPL,Couch Investor,False,2025-11-17,-0.1469956516816778,-0.0838134358296446,-0.0426690099185547,-0.02382455345746,-0.0339897040875833,-0.3554761544747818,continuation_or_stack
1220,PYPL,Couch Investor,False,2025-11-17,-0.1469956516816778,-0.0838134358296446,-0.0426690099185547,-0.02382455345746,-0.0339897040875833,-0.3554761544747818,continuation_or_stack
1221,AMZN,Couch Investor,True,2025-11-17,-0.0219878416406404,0.0911546163495402,-0.0393778515450995,-0.0328958909718322,-0.0584210503281563,-0.1515772914784999,continuation_or_stack
1222,AAPL,Couch Investor,True,2025-11-17,0.1178668835624014,0.0592303793379687,0.0158305693299027,0.0270342516648722,0.0077684299908882,-0.0561074617792551,continuation_or_stack
1223,NVDA,"Mark Roussin, CPA",True,2024-08-15,0.2510969979754045,0.0482233960047213,0.1281796361942506,0.0014670900880142,-0.0670709878965217,0.1075591876588542,reversal_or_contrast
1224,AAPL,"Mark Roussin, CPA",True,2024-08-15,0.1385240185901028,-0.0100902857888985,0.0124596053774113,-0.0065411058930716,-0.0550449100979555,-0.0802026660636221,reversal_or_contrast
1225,MSFT,The Investor Channel,False,2024-03-29,0.0346439575844779,-0.0044813366425273,-0.0115487384626535,0.0066351921321222,-0.0443545900157487,0.0299256650124817,continuation_or_stack
1226,AMZN,Daniel Pronk,True,2024-06-04,-0.0150772101820644,-0.0703386368076463,-0.0127465712604789,0.027794601441039,0.0621346890838816,-0.0795713566012357,reversal_or_contrast
1227,AMZN,Daniel Pronk,True,2024-05-11,0.0395568406849771,-0.0173287111637405,-0.0196891345065277,-0.0338060618475638,-0.0375431673956663,-0.1315016739989996,continuation_or_stack
1228,NVDA,The Investor Channel,True,2024-02-02,0.3889212624611242,0.3362983497579206,0.0698006777920974,0.0764247690383084,0.2734427729176738,0.304616617883416,continuation_or_stack
