event_id,ticker,creator,recommendation_type,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_collapsed_flag,sec_clean_flag,right_censored,available_trading_days,status,estimation_model
3,AMZN,The Investor Channel,buy,504D,FF3,0.446891,True,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,504D,FF5,0.539791,True,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,504D,Carhart,0.204191,True,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,end_of_sample,CAPM,0.605588,True,False,True,True,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,end_of_sample,FF3,0.546388,True,False,True,True,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,end_of_sample,FF5,0.689588,True,False,True,True,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
3,AMZN,The Investor Channel,buy,end_of_sample,Carhart,0.211088,True,False,True,True,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,5D,CAPM,-0.022197,True,False,True,False,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,5D,FF3,-0.031497,True,False,True,False,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,5D,FF5,-0.037097,True,False,True,False,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,5D,Carhart,-0.029097,True,False,True,False,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,10D,CAPM,-0.017587,True,False,True,False,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,10D,FF3,-0.049087,True,False,True,False,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
