event_id,ticker,data_ticker,creator,event_date,event_year,recommendation_type,top5_flag,confidence_score,confidence_label,quality_score,high_confidence,event_idx,prior_return_1d,prior_return_5d,prior_return_21d,prior_return_63d,prior_return_126d,prior_volatility_21d,prior_max_drawdown_21d,prior_abnormal_volume,prior_market_cap,post_bhar_1d,post_vol_1d,post_raw_ret_1d,post_bhar_5d,post_vol_5d,post_raw_ret_5d,post_bhar_21d,post_vol_21d,post_raw_ret_21d,post_bhar_63d,post_vol_63d,post_raw_ret_63d,post_1d_range_pct,forward_spy_bhar_5d,forward_spy_bhar_21d,forward_spy_bhar_63d,av_expanded_news_clean_flag,av_expanded_news_confounded_flag,av_expanded_news_unknown_flag,public_news_clean,public_news_confounded,public_news_unknown,master_clean,master_confounded,master_unknown,prior_abs_ret_1d_z,prior_abs_ret_5d_z,prior_abs_ret_21d_z,prior_vol_z,prior_rvol_z,post_vol_5d_z,market_quiet,market_active_pre_event,official_confounded,news_confounded,unknown_news_market_quiet,unknown_news_market_active
1477,MSFT,MSFT,Daniel Pronk,2025-03-17,2025,sell,False,0.67,high,3,True,1396,-0.007350804840266845,0.010744439654098992,0.018534410016466052,-0.06932725362411718,-0.10699695255760922,0.015002620256981914,-0.08977965958407796,-0.19678767825332022,,-0.0025180523733243643,,-0.013326499028413763,-0.003995722309057204,0.010437008948296014,0.011268296256517152,0.041592581209908386,0.02749310868734114,-0.007640887919561745,0.16909276150550578,0.020976624303293556,0.23493598258375648,0.0,-0.0039957223090572,0.0415925812099083,0.1690927615055057,False,False,True,False,False,True,False,False,True,-0.42316960601148745,-0.6107060563486738,-0.7706743751267013,-0.6042792119081597,-0.7205052724229783,-0.7208951011396717,True,False,False,False,True,False
1478,SOFI,SOFI,Couch Investor,2026-01-02,2026,buy,False,0.62,high,3,True,1255,0.04705919725570595,0.009715713375415769,-0.07483630951408804,0.03351212137552406,0.37998565884102353,0.02840961699424421,-0.14628377932105474,-0.29803663516573253,,0.05961816960900723,,0.06627828342507036,-0.018139991651283993,0.053398419674944984,-0.002184976982621545,-0.21688421209447128,0.030464117277630876,-0.20757461928736565,-0.37465424711797135,0.030196499385175136,-0.40750178440597273,0.0,-0.0181399916512839,-0.2168842120944712,-0.3746542471179713,False,False,True,False,False,True,False,True,True,0.9854132862657882,-0.629087430847368,-0.1872502920230476,-0.7999479762596025,0.24900839930328827,1.490229456758386,True,False,False,False,True,False
1479,AMD,AMD,Jose Najarro Stocks,2026-01-22,2026,buy,True,0.62,high,3,True,1610,0.010509326536594532,0.13674842964572054,0.1764932060584561,0.03657293123063243,0.5067163996012631,0.02766368105384798,-0.0908399469318889,0.8694792575324055,,0.02308733227526316,,0.02345011251500373,-0.013453035944302805,0.02002629720314821,-0.006108868000858081,-0.21559574663657866,0.04864595661203021,-0.22516056668905204,0.17229838360118443,0.04095266926248425,0.20336574986638856,0.0,-0.0134530359443028,-0.2155957466365786,0.1722983836011844,False,True,False,False,True,False,False,True,False,-0.31112680206750454,1.64074467098219,0.8661614434027871,1.4563359307690795,0.19506678160779461,-0.22735658845031056,False,True,False,True,False,False
1480,MSFT,MSFT,Jose Najarro Stocks,2026-01-22,2026,sell,False,0.62,high,3,True,1610,0.010606219788860116,-0.0159383292026114,-0.08390308961742965,-0.15625532953575494,-0.19764216096846998,0.010731681615777831,-0.0899758082439498,0.6095682870909915,,0.03246517060887988,,0.032827950848620446,-0.046445098286469366,0.053402555617740405,-0.03910093034302464,-0.13627120691316175,0.029393143921012138,-0.14583602696563513,-0.10740967993980721,0.022460960121015342,-0.07634231367460309,0.0,-0.0464450982864693,-0.1362712069131617,-0.1074096799398072,False,False,True,False,False,True,False,False,True,-0.3076896904340116,-0.5179011665792943,-0.09329648379108994,0.9540447469532268,-1.0293539642588578,1.4904423241789464,True,False,False,False,True,False
1481,NVDA,NVDA,The Investor Channel,2024-08-29,2024,sell,True,0.62,high,3,True,1261,-0.06393784800126101,-0.05353031897833427,-0.008817748394850833,-0.007583983321326038,0.380653512622124,0.04822198422566447,-0.15475970328983424,0.20770076662070647,,0.005591391759256048,,0.015137491076950171,-0.09330104258950744,0.044863488109109236,-0.12552080199271332,0.0020781007882042513,0.03531293670777783,0.03282935831222544,0.07525757488062856,0.02840531941977551,0.15104664769530696,0.0,-0.0933010425895074,0.0020781007882042,0.0752575748806285,False,False,True,False,False,True,False,True,True,1.5841526770769843,0.15379591799710232,-0.8713625303755088,0.17741530245018866,1.6817200853393786,1.0509562470103513,True,True,False,False,True,True
1482,META,META,Jose Najarro Stocks,2026-01-28,2026,buy,False,0.62,high,3,True,1614,-0.006199783924368929,0.07636547322658438,0.0007990225234919546,-0.12646224605223022,-0.1442269901037806,0.018147780292123647,-0.0928447966906849,-0.030772482717616456,,0.10603240466928598,,0.10404802222031617,0.013661385931081904,0.057877769557755934,0.0003888701472416489,-0.017169753723615178,0.029242804572428668,-0.030729876472296414,-0.024592377766841755,0.026949239605529828,0.001439924860458408,0.0,0.0136613859310819,-0.0171697537236151,-0.0245923777668417,False,False,True,False,False,True,False,True,True,-0.46399997642347973,0.5618165262679496,-0.9544559576115597,-0.28344639382653425,-0.49306614391464726,1.7207712467456822,True,False,False,False,True,False
1483,META,META,Jose Najarro Stocks,2026-01-28,2026,buy,False,0.62,high,3,True,1614,-0.006199783924368929,0.07636547322658438,0.0007990225234919546,-0.12646224605223022,-0.1442269901037806,0.018147780292123647,-0.0928447966906849,-0.030772482717616456,,0.10603240466928598,,0.10404802222031617,0.013661385931081904,0.057877769557755934,0.0003888701472416489,-0.017169753723615178,0.029242804572428668,-0.030729876472296414,-0.024592377766841755,0.026949239605529828,0.001439924860458408,0.0,0.0136613859310819,-0.0171697537236151,-0.0245923777668417,False,False,True,False,False,True,False,True,True,-0.46399997642347973,0.5618165262679496,-0.9544559576115597,-0.28344639382653425,-0.49306614391464726,1.7207712467456822,True,False,False,False,True,False
1484,MSFT,MSFT,Jose Najarro Stocks,2026-01-28,2026,buy,False,0.62,high,3,True,1614,0.0022855268237806925,0.06986445532072394,-0.019868893037466195,-0.11002189966489795,-0.1580362496512464,0.014062266935443116,-0.08939742944572582,0.20517779504752798,,-0.09794707999712482,,-0.09993146244609463,-0.12675195501885694,0.041768438975102955,-0.1400244708026972,-0.1691394541373462,0.028679744136050185,-0.18269957688602745,-0.14272187018531068,0.022068698364457656,-0.11668956755801052,0.0,-0.1267519550188569,-0.1691394541373462,-0.1427218701853106,False,False,True,False,False,True,False,True,True,-0.6028511172649232,0.44565574839485445,-0.7568458979369168,0.17253953142723671,-0.7885059902087304,0.8916612184637827,True,False,False,False,True,False
1485,MSFT,MSFT,Jose Najarro Stocks,2026-01-28,2026,sell,False,0.62,high,3,True,1614,0.0022855268237806925,0.06986445532072394,-0.019868893037466195,-0.11002189966489795,-0.1580362496512464,0.014062266935443116,-0.08939742944572582,0.20517779504752798,,-0.09794707999712482,,-0.09993146244609463,-0.12675195501885694,0.041768438975102955,-0.1400244708026972,-0.1691394541373462,0.028679744136050185,-0.18269957688602745,-0.14272187018531068,0.022068698364457656,-0.11668956755801052,0.0,-0.1267519550188569,-0.1691394541373462,-0.1427218701853106,False,False,True,False,False,True,False,True,True,-0.6028511172649232,0.44565574839485445,-0.7568458979369168,0.17253953142723671,-0.7885059902087304,0.8916612184637827,True,False,False,False,True,False
1486,MSFT,MSFT,Jose Najarro Stocks,2026-01-28,2026,sell,False,0.62,high,3,True,1614,0.0022855268237806925,0.06986445532072394,-0.019868893037466195,-0.11002189966489795,-0.1580362496512464,0.014062266935443116,-0.08939742944572582,0.20517779504752798,,-0.09794707999712482,,-0.09993146244609463,-0.12675195501885694,0.041768438975102955,-0.1400244708026972,-0.1691394541373462,0.028679744136050185,-0.18269957688602745,-0.14272187018531068,0.022068698364457656,-0.11668956755801052,0.0,-0.1267519550188569,-0.1691394541373462,-0.1427218701853106,False,False,True,False,False,True,False,True,True,-0.6028511172649232,0.44565574839485445,-0.7568458979369168,0.17253953142723671,-0.7885059902087304,0.8916612184637827,True,False,False,False,True,False
