strategy,holding_days,cost_bps,signal_timing,trade_count,average_trade_return,median_trade_return,annualized_return_proxy,annualized_volatility_proxy,sharpe_proxy,max_drawdown_sequence,hit_rate,top5_event_share,ticker_concentration_top_share,years_spanned,status
long_buy_short_sell,5,10,one_day_delay,2322,0.000623,-0.002674,0.031884,0.490599,0.065,-0.998777,0.468131,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,5,25,next_close,2322,-0.001877,-0.005174,-0.090348,0.490599,-0.184,-0.999990,0.454780,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,5,25,one_day_delay,2322,-0.002377,-0.005674,-0.113033,0.490599,-0.230,-0.999996,0.450474,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,5,50,next_close,2322,-0.006877,-0.010174,-0.293761,0.490599,-0.599,-1.000000,0.420327,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,5,50,one_day_delay,2322,-0.007377,-0.010674,-0.311460,0.490599,-0.635,-1.000000,0.417743,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,5,100,next_close,2322,-0.016877,-0.020174,-0.575933,0.490599,-1.174,-1.000000,0.354005,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_buy_short_sell,5,100,one_day_delay,2322,-0.017377,-0.020674,-0.586668,0.490599,-1.196,-1.000000,0.351421,0.586563,0.168389,6.22,diagnostic_not_tradability_proof
long_all_buys,21,0,next_close,1808,0.019761,0.009382,0.264674,0.459582,0.576,-0.998703,0.532080,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,21,0,one_day_delay,1808,0.019261,0.008882,0.257253,0.459582,0.560,-0.998838,0.530973,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,21,5,next_close,1808,0.018761,0.008382,0.249872,0.459582,0.544,-0.998959,0.528761,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,21,5,one_day_delay,1808,0.018261,0.007882,0.242531,0.459582,0.528,-0.999067,0.528208,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,21,10,next_close,1808,0.017761,0.007382,0.235229,0.459582,0.512,-0.999165,0.524889,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,21,10,one_day_delay,1808,0.017261,0.006882,0.227967,0.459582,0.496,-0.999252,0.522124,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,21,25,next_close,1808,0.014761,0.004382,0.192238,0.459582,0.418,-0.999693,0.512168,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,21,25,one_day_delay,1808,0.014261,0.003882,0.185208,0.459582,0.403,-0.999765,0.511062,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,21,50,next_close,1808,0.009761,-0.000618,0.123624,0.459582,0.269,-0.999995,0.497235,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,21,50,one_day_delay,1808,0.009261,-0.001118,0.116966,0.459582,0.255,-0.999997,0.495575,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,21,100,next_close,1808,-0.000239,-0.010618,-0.002869,0.459582,-0.006,-1.000000,0.455199,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,21,100,one_day_delay,1808,-0.000739,-0.011118,-0.008837,0.459582,-0.019,-1.000000,0.453540,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,0,next_close,1006,0.031150,0.018809,0.444987,0.523173,0.851,-0.967559,0.571571,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,0,one_day_delay,1006,0.030650,0.018309,0.436601,0.523173,0.835,-0.968464,0.569583,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,5,next_close,1006,0.030150,0.017809,0.428260,0.523173,0.819,-0.969344,0.568588,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,5,one_day_delay,1006,0.029650,0.017309,0.419964,0.523173,0.803,-0.970201,0.568588,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,10,next_close,1006,0.029150,0.016809,0.411711,0.523173,0.787,-0.971034,0.564612,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,10,one_day_delay,1006,0.028650,0.016309,0.403503,0.523173,0.771,-0.971844,0.562624,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,25,next_close,1006,0.026150,0.013809,0.363113,0.523173,0.694,-0.981733,0.550696,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,25,one_day_delay,1006,0.025650,0.013309,0.355164,0.523173,0.679,-0.983400,0.548708,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,50,next_close,1006,0.021150,0.008809,0.285512,0.523173,0.546,-0.993002,0.530815,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,50,one_day_delay,1006,0.020650,0.008309,0.277979,0.523173,0.531,-0.993644,0.529821,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,100,next_close,1006,0.011150,-0.001191,0.142323,0.523173,0.272,-0.999167,0.495030,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,21,100,one_day_delay,1006,0.010650,-0.001691,0.135563,0.523173,0.259,-0.999389,0.494036,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
avoid_non_top_buys,21,0,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,21,0,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,21,5,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,21,5,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,21,10,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,21,10,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,21,25,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,21,25,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,21,50,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,21,50,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,21,100,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,21,100,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
short_non_top_buys_diagnostic,21,0,next_close,802,-0.005474,0.005221,-0.063742,0.358694,-0.178,-0.999858,0.517456,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,21,0,one_day_delay,802,-0.005974,0.004721,-0.069375,0.358694,-0.193,-0.999905,0.516209,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,21,5,next_close,802,-0.006474,0.004221,-0.074977,0.358694,-0.209,-0.999936,0.513716,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,21,5,one_day_delay,802,-0.006974,0.003721,-0.080548,0.358694,-0.225,-0.999957,0.511222,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
