event_id,ticker,company_name,event_date,window_pm1,window_pm3,window_pm5,filing_count_pm1,filing_count_pm3,filing_count_pm5,material_filing_flag_pm1,material_filing_flag_pm3,material_filing_flag_pm5,material_form_types,nearest_filing_date,nearest_form_type,sec_confounded_flag,sec_clean_flag,query_status,reason_codes
441,AAPL,Apple,2025-03-13,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2025-02-27,4,False,True,ok,
442,AAPL,Apple,2025-03-13,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2025-02-27,4,False,True,ok,
443,NVDA,Nvidia,2024-09-07,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,8,12,False,False,False,,2024-09-06,4,False,True,ok,
444,AMZN,Amazon,2023-10-27,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,2,6,True,True,True,10-Q;8-K,2023-10-27,10-Q,True,False,ok,material_filing_pm5
445,NVDA,Nvidia,2025-10-08,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",4,7,8,False,False,False,,2025-10-08,144,False,True,ok,
446,AMZN,Amazon,2024-05-02,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",9,11,12,True,True,True,10-Q;8-K,2024-05-02,PX14A6G,True,False,ok,material_filing_pm5
447,TSLA,Tesla,2024-05-02,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,6,11,False,True,True,DEF 14A,2024-05-03,DEFA14A,True,False,ok,material_filing_pm5
448,NVDA,Nvidia,2025-10-09,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",4,7,9,False,False,False,,2025-10-09,144,False,True,ok,
449,CRM,,2025-10-09,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,5,6,False,False,False,,2025-10-09,4,False,True,ok,
450,TSLA,Tesla,2025-10-09,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,6,7,False,False,False,,2025-10-09,DEFA14A,False,True,ok,
451,UBER,Uber,2025-10-09,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2025-10-15,4,False,True,ok,
452,AAPL,Apple,2024-02-10,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,3,13,False,False,False,,2024-02-09,PX14A6G,False,True,ok,
453,AMZN,Amazon,2024-02-10,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,10,15,False,False,False,,2024-02-09,4,False,True,ok,
454,NVDA,Nvidia,2024-02-10,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,2,3,False,False,False,,2024-02-09,SC 13G/A,False,True,ok,
455,TSLA,Tesla,2024-02-10,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,1,2,False,False,False,,2024-02-13,SC 13G/A,False,True,ok,
456,TSLA,Tesla,2024-02-10,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,1,2,False,False,False,,2024-02-13,SC 13G/A,False,True,ok,
457,AMD,,2026-04-14,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,3,3,False,False,False,,2026-04-15,144,False,True,ok,
458,AMD,,2026-04-14,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,3,3,False,False,False,,2026-04-15,144,False,True,ok,
459,NVDA,Nvidia,2024-06-27,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",8,10,25,False,False,True,8-K,2024-06-27,144,True,False,ok,material_filing_pm5
