creator,horizon,event_count,top5_share,mean_pre21_spy_bhar,right_censored,n,mean,median,t_stat,p_value,win_rate
Graham Stephan,252D,6,1.0000,0.026225,6,6,0.006659,0.028266,0.100,0.920110,0.5000
Graham Stephan,504D,6,1.0000,0.026225,6,6,0.006659,0.028266,0.100,0.920110,0.5000
Graham Stephan,5D,6,1.0000,0.026225,0,6,-0.025619,-0.041627,-1.551,0.120961,0.3333
Graham Stephan,63D,6,1.0000,0.026225,2,6,-0.005832,-0.018263,-0.072,0.942208,0.5000
Graham Stephan,end_of_sample,6,1.0000,0.026225,0,6,0.006659,0.028266,0.100,0.920110,0.5000
HyperChange,126D,76,0.9474,-0.106631,0,76,0.083774,-0.013173,2.639,0.008314,0.4474
HyperChange,21D,76,0.9474,-0.106631,0,76,-0.066361,-0.132981,-4.436,0.000009,0.2895
HyperChange,252D,76,0.9474,-0.106631,0,76,0.361760,0.454784,8.062,0.000000,0.7632
HyperChange,504D,76,0.9474,-0.106631,4,76,0.489790,0.514475,7.708,0.000000,0.7895
HyperChange,5D,76,0.9474,-0.106631,0,76,-0.008080,-0.021034,-0.616,0.537587,0.4605
HyperChange,63D,76,0.9474,-0.106631,0,76,-0.034838,-0.093427,-1.254,0.209770,0.3553
HyperChange,end_of_sample,76,0.9474,-0.106631,0,76,0.484293,0.450761,7.229,0.000000,0.8158
Investing with Tom,126D,15,0.6667,-0.012947,0,15,0.060216,0.042311,1.622,0.104893,0.6667
Investing with Tom,21D,15,0.6667,-0.012947,0,15,0.007828,0.008711,0.564,0.573065,0.6667
Investing with Tom,252D,15,0.6667,-0.012947,0,15,0.091838,0.049749,1.890,0.058748,0.6667
Investing with Tom,504D,15,0.6667,-0.012947,0,15,0.061200,0.000793,0.675,0.499788,0.7333
Investing with Tom,5D,15,0.6667,-0.012947,0,15,-0.005007,0.003725,-0.612,0.540865,0.6667
Investing with Tom,63D,15,0.6667,-0.012947,0,15,-0.017155,-0.042100,-0.496,0.619858,0.4000
Investing with Tom,end_of_sample,15,0.6667,-0.012947,0,15,0.271660,0.015381,1.286,0.198534,0.5333
Jose Najarro Stocks,126D,270,0.6852,0.019349,170,270,0.147364,0.078110,6.356,0.000000,0.5889
Jose Najarro Stocks,21D,270,0.6852,0.019349,20,270,0.002322,-0.002172,0.338,0.735679,0.4926
Jose Najarro Stocks,252D,270,0.6852,0.019349,270,270,0.234732,0.114049,7.936,0.000000,0.6889
Jose Najarro Stocks,504D,270,0.6852,0.019349,270,270,0.234732,0.114049,7.936,0.000000,0.6889
Jose Najarro Stocks,5D,270,0.6852,0.019349,1,270,-0.001289,-0.003126,-0.394,0.693640,0.4630
Jose Najarro Stocks,63D,270,0.6852,0.019349,60,270,0.115268,0.019829,6.157,0.000000,0.5667
Jose Najarro Stocks,end_of_sample,270,0.6852,0.019349,0,270,0.234732,0.114049,7.936,0.000000,0.6889
Joseph Carlson,126D,44,0.5682,-0.001558,0,44,0.039644,0.081243,1.372,0.170050,0.5909
Joseph Carlson,21D,44,0.5682,-0.001558,0,44,0.013959,0.030616,1.484,0.137883,0.5455
Joseph Carlson,252D,44,0.5682,-0.001558,0,44,0.079340,0.007451,1.405,0.159890,0.6818
Joseph Carlson,504D,44,0.5682,-0.001558,0,44,0.088047,-0.049500,0.997,0.318981,0.2727
