event_id,video_id,ticker,event_date,in_v1_locked_sample,in_v2_live_sample,v1_only,v2_only,shared,notes
140,MdBJZubgoCU,SOFI,2025-08-19,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
141,MdBJZubgoCU,GOOGL,2025-08-19,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
142,MiggHZyISvg,AAPL,2023-09-22,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
143,MiggHZyISvg,AMZN,2023-09-22,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
144,MiggHZyISvg,GOOGL,2023-09-22,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
145,MiggHZyISvg,TSLA,2023-09-22,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
146,MiggHZyISvg,TSLA,2023-09-22,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
147,MmUhgfTMrZg,NVDA,2023-02-17,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
148,NaFTklG243s,AMD,2026-02-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
149,Nbe51cQi5zA,NVDA,2026-03-12,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
150,Ogtt6YIOnwY,AMD,2025-08-14,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
151,OiynXzBbo90,NVDA,2025-08-22,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
152,P39lHxm2V_Q,MSFT,2024-08-12,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
153,P39lHxm2V_Q,MSFT,2024-08-12,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
154,P39lHxm2V_Q,MSFT,2024-08-12,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
155,P39lHxm2V_Q,MSFT,2024-08-12,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
156,P39lHxm2V_Q,MSFT,2024-08-12,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
157,P39lHxm2V_Q,MSFT,2024-08-12,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
158,P5Q_TvlGI2k,TSLA,2025-09-15,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
159,P5Q_TvlGI2k,TSLA,2025-09-15,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
160,P5Q_TvlGI2k,NVDA,2025-09-15,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
161,P5Q_TvlGI2k,NVDA,2025-09-15,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
162,PQ13EzRF-iU,AMD,2025-08-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
163,PQ13EzRF-iU,GOOGL,2025-08-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
164,PQ13EzRF-iU,AMZN,2025-08-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
165,PhvCZV12D5M,MSFT,2026-03-09,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
166,PhvCZV12D5M,MSFT,2026-03-09,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
167,PuL8wm2jDU8,AMZN,2024-01-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
168,RCkD9ot0sL0,MSFT,2024-09-20,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
169,RTqgOz5CG4s,NVDA,2023-12-15,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
170,RVY_gaWTBf8,TSLA,2023-08-04,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
171,RVY_gaWTBf8,NVDA,2023-08-04,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
172,S5qPHBVOx6s,AMD,2025-08-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
173,S5qPHBVOx6s,AMD,2025-08-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
174,S5qPHBVOx6s,GOOGL,2025-08-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
175,S5qPHBVOx6s,AMZN,2025-08-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
176,SD5NKdETIs0,UBER,2026-03-03,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
177,SFBjjF7uLeY,MSFT,2023-01-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
178,SS6iA7rkR0I,NVDA,2025-07-19,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
179,SgZ_mSY9Wcs,AMD,2025-08-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
180,St89OhMFi08,AMD,2025-08-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
181,TjFsAeG7rLM,NVDA,2025-08-17,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
182,UDqLvS18EwY,SHOP,2023-08-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
183,UDqLvS18EwY,NVDA,2023-08-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
184,UDqLvS18EwY,GOOGL,2023-08-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
185,UDqLvS18EwY,MSFT,2023-08-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
186,UoT3BZRjozE,DIS,2023-02-08,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
187,V2n8fGThJas,NVDA,2025-07-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
188,V81J4r1Ynwo,AMZN,2023-04-27,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
